experiment,split,variant,mode,seed,alignment_strength,best_epoch,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,neural_test_accuracy,lr_train_accuracy,lr_train_balanced_accuracy,lr_train_macro_f1,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-UDA,uda,4,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8829268292682927,1.0,1.0,1.0,0.8731707317073171,0.8701840673671658,0.8754803965732049
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-SEMI,semi,0,0.5,50,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.926829268292683,1.0,1.0,1.0,0.946341463414634,0.9447797898502124,0.9472027415994784
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-SEMI,semi,1,0.5,330,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.951219512195122,1.0,1.0,1.0,0.9560975609756096,0.955361800432223,0.9566495590213764
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-SEMI,semi,2,0.5,30,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9121951219512195,1.0,1.0,1.0,0.9658536585365852,0.9653476414039792,0.9664730933023616
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-SEMI,semi,3,0.5,90,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9219512195121952,1.0,1.0,1.0,0.951219512195122,0.9500707951412176,0.9520132654207212
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-SEMI,semi,4,0.5,30,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9219512195121952,1.0,1.0,1.0,0.951219512195122,0.9494746255309636,0.9515873015873016
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-UDA,uda,0,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8926829268292683,1.0,1.0,1.0,0.8926829268292683,0.8901557493106789,0.8952795300112869
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-UDA,uda,1,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.848780487804878,1.0,1.0,1.0,0.8634146341463415,0.8607943960056635,0.8664124219940373
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-UDA,uda,2,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.902439024390244,1.0,1.0,1.0,0.8878048780487805,0.8842685744094195,0.8889212158828986
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-UDA,uda,3,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8536585365853658,1.0,1.0,1.0,0.8731707317073171,0.8695878977569119,0.8753377616283317
