experiment,split,mode,alignment_strength,seed,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,selection_usage
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,2,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,3,20,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,4,10,0.7,0.6666666666666666,0.6555555555555556,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,0,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,1,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,2,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,3,20,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.1,4,10,0.7,0.6666666666666666,0.6555555555555556,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,0,150,0.7,0.6666666666666666,0.6555555555555556,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,1,40,0.7,0.6666666666666666,0.6555555555555556,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,2,20,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,3,30,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,4,110,0.8,0.75,0.7486772486772487,source validation labels
local-mkmmd,S4_train_I_val_D1_2,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S4_train_I_val_D1_2,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S4_train_I_val_D1_2,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S4_train_I_val_D1_2,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S4_train_I_val_D1_2,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S4_train_I_val_D1_2,semi,0.01,0,270,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.01,1,250,0.9285714285714286,0.9333333333333332,0.9274821039526921,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.01,2,260,0.8571428571428571,0.8583333333333334,0.8552115583075336,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.01,3,220,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.01,4,150,0.8928571428571429,0.8916666666666666,0.8898287385129491,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.1,0,100,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
