split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,4,54->32->3,32,0.0,0.0001,0.001,5,45,0.4230769230769231,0.4333333333333333,0.4338118022328548
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,0,54->32->16->3,"32,16",0.0,0.0001,0.001,46,86,0.6923076923076923,0.7333333333333334,0.7079365079365078
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,11,51,0.5,0.5666666666666667,0.4195270785659801
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,83,123,0.7692307692307693,0.8000000000000002,0.7749766573295984
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,114,154,0.8846153846153846,0.9,0.8787524366471735
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,60,100,0.4230769230769231,0.5,0.40444444444444444
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,11,51,0.7692307692307693,0.7999999999999999,0.7579365079365079
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,1,54->64->32->3,"64,32",0.0,0.0001,0.001,107,147,0.7692307692307693,0.7999999999999999,0.7659958720330238
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,2,54->64->32->3,"64,32",0.0,0.0001,0.001,79,119,0.9230769230769231,0.9333333333333332,0.9172932330827068
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,3,54->64->32->3,"64,32",0.0,0.0001,0.001,11,51,0.6538461538461539,0.7000000000000001,0.6638827838827838
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,4,54->64->32->3,"64,32",0.0,0.0001,0.001,53,93,0.8846153846153846,0.9,0.882010582010582
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,0,54->16->3,16,0.0,0.0001,0.001,66,106,0.45,0.5111111111111111,0.4276377217553688
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,1,54->16->3,16,0.0,0.0001,0.001,43,83,0.475,0.5333333333333333,0.46300366300366297
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,2,54->16->3,16,0.0,0.0001,0.001,63,103,0.475,0.5333333333333333,0.45129129129129125
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,3,54->16->3,16,0.0,0.0001,0.001,64,104,0.375,0.4444444444444444,0.33632530939752486
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,4,54->16->3,16,0.0,0.0001,0.001,63,103,0.525,0.5777777777777778,0.5122027290448343
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,0,54->32->3,32,0.0,0.0001,0.001,62,102,0.45,0.5111111111111111,0.4325031693452746
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,1,54->32->3,32,0.0,0.0001,0.001,93,133,0.675,0.7111111111111111,0.6704144620811289
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,2,54->32->3,32,0.0,0.0001,0.001,15,55,0.725,0.7444444444444445,0.7302436125965538
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,3,54->32->3,32,0.0,0.0001,0.001,2,42,0.4,0.45555555555555555,0.32765151515151514
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,4,54->32->3,32,0.0,0.0001,0.001,7,47,0.45,0.4666666666666666,0.45399045399045396
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,0,54->32->16->3,"32,16",0.0,0.0001,0.001,18,58,0.675,0.7111111111111111,0.6662387676508345
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,28,68,0.45,0.5111111111111111,0.4276377217553688
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,95,135,0.5,0.5555555555555555,0.4931092299513353
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,23,63,0.35,0.4222222222222222,0.29507797270955166
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,83,123,0.775,0.7999999999999999,0.7726278659611993
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,87,127,0.8,0.8222222222222223,0.7952991452991452
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,1,54->64->32->3,"64,32",0.0,0.0001,0.001,5,45,0.625,0.6666666666666666,0.5355884425651868
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,2,54->64->32->3,"64,32",0.0,0.0001,0.001,19,59,0.775,0.7999999999999999,0.7786030061892131
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,3,54->64->32->3,"64,32",0.0,0.0001,0.001,9,49,0.675,0.7111111111111111,0.6662387676508345
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,architecture,4,54->64->32->3,"64,32",0.0,0.0001,0.001,20,60,0.8,0.8222222222222223,0.7893695831984752
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,0,54->16->3,16,0.0,0.0001,0.001,46,86,0.5384615384615384,0.6,0.5277777777777778
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,1,54->16->3,16,0.0,0.0001,0.001,66,106,0.6153846153846154,0.6666666666666666,0.6162464985994398
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,2,54->16->3,16,0.0,0.0001,0.001,6,46,0.46153846153846156,0.5333333333333333,0.43777777777777777
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,3,54->16->3,16,0.0,0.0001,0.001,88,128,0.5,0.5666666666666668,0.49292929292929294
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,4,54->16->3,16,0.0,0.0001,0.001,25,65,0.6153846153846154,0.6666666666666666,0.621031746031746
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,0,54->32->3,32,0.0,0.0001,0.001,62,102,0.5384615384615384,0.6,0.5378151260504201
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,1,54->32->3,32,0.0,0.0001,0.001,39,79,0.6538461538461539,0.7000000000000001,0.6575163398692809
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,2,54->32->3,32,0.0,0.0001,0.001,13,53,0.8461538461538461,0.8444444444444444,0.8564593301435407
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,3,54->32->3,32,0.0,0.0001,0.001,67,107,0.5384615384615384,0.6,0.5203182722364308
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,4,54->32->3,32,0.0,0.0001,0.001,4,44,0.5769230769230769,0.5444444444444444,0.5493547846489023
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,0,54->32->16->3,"32,16",0.0,0.0001,0.001,16,56,0.6923076923076923,0.7333333333333333,0.706959706959707
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,44,84,0.6538461538461539,0.7000000000000001,0.6626984126984127
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,52,92,0.4230769230769231,0.5,0.40565907522429256
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,53,93,0.5384615384615384,0.6,0.5373737373737373
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,77,117,0.6538461538461539,0.7000000000000001,0.6541537667698658
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,3,43,0.6153846153846154,0.6666666666666666,0.6130718954248365
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,1,54->64->32->3,"64,32",0.0,0.0001,0.001,58,98,0.6538461538461539,0.7000000000000001,0.6541537667698658
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,2,54->64->32->3,"64,32",0.0,0.0001,0.001,17,57,0.7692307692307693,0.7999999999999999,0.7712418300653594
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,3,54->64->32->3,"64,32",0.0,0.0001,0.001,9,49,0.6923076923076923,0.7333333333333333,0.706959706959707
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,architecture,4,54->64->32->3,"64,32",0.0,0.0001,0.001,20,60,0.7692307692307693,0.7999999999999999,0.757516339869281
