architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,1,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6776556776556777,0.6912294238683128,0.6650768116739079,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,2,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8333333333333334,0.861111111111111,0.8222222222222223,0.6556776556776557,0.6671810699588477,0.6634275611496427,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,3,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.9,0.9166666666666666,0.8943001443001443,0.652014652014652,0.6598508230452674,0.6499062739372817,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,4,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8,0.8333333333333334,0.791919191919192,0.6483516483516484,0.6608796296296297,0.6450056853755108,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,0,0.05,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.673992673992674,0.6858281893004116,0.6656004575130091,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,1,0.05,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8,0.8333333333333334,0.7936507936507936,0.6776556776556777,0.6925154320987654,0.6631111451892239,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,2,0.05,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8333333333333334,0.861111111111111,0.8222222222222223,0.6666666666666666,0.6782407407407406,0.6737647938756655,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,3,0.05,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.9,0.9166666666666666,0.8943001443001443,0.6593406593406593,0.6674382716049383,0.656960947658622,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,4,0.05,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.7666666666666667,0.7777777777777778,0.7526001705029838,0.6446886446886447,0.656764403292181,0.6419337545039144,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,0,0.001,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6703296703296703,0.6823559670781894,0.6608669275789801,,,,
