experiment,family,method,split,seed,epoch,classification_loss,alignment_loss,centroid_loss,total_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,30,0.052531249821186,1.117495059967041,0.0,1.1700263023376465,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,40,0.0290806628763675,1.5652039051055908,0.0,1.5942845344543457,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,50,0.0152257764711976,0.8581916093826294,0.0,0.8734173774719238,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,60,0.0072728493250906,0.5790897607803345,0.0,0.5863626003265381,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,70,0.0050555123016238,0.5239338278770447,0.0,0.528989315032959,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,80,0.0043497127480804,0.4880762100219726,0.0,0.4924259185791015,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,90,0.0040081362240016,0.4846500158309936,0.0,0.4886581599712372,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,100,0.0036029757466167,0.5038360357284546,0.0,0.5074390172958374,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,110,0.0038148355670273,0.5278169512748718,0.0,0.5316317677497864,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,120,0.0038643814623355,0.5437719821929932,0.0,0.5476363897323608,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,130,0.003538891673088,0.5437043905258179,0.0,0.5472432971000671,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,140,0.0032577943056821,0.5530436038970947,0.0,0.5563014149665833,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,150,0.0031390681397169,0.6178927421569824,0.0,0.6210318207740784,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,160,0.0034064278006553,0.6929084658622742,0.0,0.6963148713111877,,,
