split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y,architecture
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_19.csv,-1.543317630403238,-1.4003306387144694,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_20.csv,-0.885292749564563,-1.8275231956044033,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_21.csv,1.529573055720433,2.890318890578024,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_22.csv,-0.36530235953333323,-1.7878415218584887,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_23.csv,13.156970338357038,0.9630111116735529,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_24.csv,-0.33579663463590037,0.39980336227103214,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_25.csv,-1.4503943425923291,0.4604798330694984,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_26.csv,-0.7149881646735494,0.784323315836155,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_27.csv,3.115041316367717,-1.7705912145938727,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_28.csv,4.3638223244095276,2.888657989428154,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_29.csv,2.0289799126373107,0.47604274843832256,One-layer G_f: 54 -> 16
