Task,Split,Model,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,Logistic Regression,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,1.0,0.9230769230769232,0.9182389937106918,1.0,0.9333333333333332,0.9189857761286332,1.0,0.9214489214489214,0.9195497408002749,0.0817610062893081,0.0048379293662312,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.875,0.8846153846153846,0.8616352201257862,0.8765432098765432,0.9,0.8644403215831787,0.8692070538907387,0.8897028897028897,0.8648148148148148,0.0133647798742138,0.0229801644895983,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.7222222222222222,0.6153846153846154,0.6918238993710691,0.7469135802469135,0.6666666666666666,0.703030303030303,0.7247567474005662,0.6124223602484471,0.6539141735175298,0.030398322851153,-0.0764392839864537,Underfitting
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,RBF LS-SVM,gamma=0.5;C=1.0,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.9305555555555556,0.9230769230769232,0.9056603773584906,0.9320987654320988,0.9333333333333332,0.9083487940630798,0.9271226193826811,0.9326599326599326,0.9056775252473872,0.0248951781970649,0.0174165457184325,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,MLP,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,1.0,0.9615384615384616,0.9119496855345912,1.0,0.9666666666666668,0.9114409400123684,1.0,0.9568151147098516,0.9113798572561458,0.0880503144654087,0.0495887760038703,Acceptable
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,LDA,shrinkage=0.1,fixed_default_no_validation,24,0,160,1.0,,0.63125,1.0,,0.63125,1.0,,0.5732175957321759,0.36875,,High gap
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,Logistic Regression,l2=0.01,fixed_default_no_validation,24,0,160,1.0,,0.79375,1.0,,0.79375,1.0,,0.7867442142251303,0.20625,,Acceptable
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,kNN,k=3,fixed_default_no_validation,24,0,160,0.9166666666666666,,0.64375,0.9166666666666666,,0.64375,0.9166666666666666,,0.6437360834407594,0.2729166666666666,,High gap
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,Random Forest,subspace=2.0,fixed_default_no_validation,24,0,160,0.8333333333333334,,0.5625,0.8333333333333333,,0.5625,0.8285714285714285,,0.5391705069124424,0.2708333333333333,,High gap
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,RBF LS-SVM,gamma=1.0;C=10.0,fixed_default_no_validation,24,0,160,1.0,,0.8125,1.0,,0.8125,1.0,,0.8088867654085046,0.1875,,Acceptable
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,MLP,h=16;l2=0.001;lr=0.01,fixed_default_no_validation,24,0,160,1.0,,0.8375,1.0,,0.8375,1.0,,0.834920634920635,0.1624999999999999,,Best; Acceptable
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,0.6703296703296704,0.3,0.3,Overfitting/domain shift
