split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_cdan_last,backward_loss_scalar_last,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,160,0.0003399970009922981,0.22099663317203522,0.22133663296699524,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,1.0,0.8,0.7509157509157509,1.0,0.75,0.7529578189300411,1.0,0.7486772486772487,0.7569467328292516,0.2490842490842491,0.9385665529010239
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,0.0003035863337572664,0.22395624220371246,0.22425982356071472,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.95,0.7,0.706959706959707,0.9583333333333334,0.6666666666666666,0.7151491769547325,0.9407407407407407,0.6518518518518519,0.704073527628441,0.24304029304029295,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,230,0.0002457333612255752,0.19187694787979126,0.192122682929039,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,1.0,0.7,0.6813186813186813,1.0,0.6666666666666666,0.6754115226337448,1.0,0.6944444444444443,0.6790894599570906,0.31868131868131866,0.9112627986348123
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,310,9.983938798541203e-05,0.2710994780063629,0.2711993157863617,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.8571428571428571,0.7551020408163265,1.0,0.8583333333333334,0.7584687267707338,1.0,0.8634920634920635,0.749335232668566,0.24489795918367352,0.9141914191419142
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,260,0.000124301717733033,0.2737472653388977,0.2738715708255768,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.8928571428571429,0.7918367346938775,1.0,0.8833333333333333,0.7933524477009662,1.0,0.8857142857142857,0.7882202304737516,0.2081632653061225,0.9042904290429042
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,210,0.0001670575438765809,0.27574995160102844,0.27591702342033386,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.9642857142857143,0.8122448979591836,1.0,0.9666666666666667,0.8134225337156207,1.0,0.9628482972136223,0.813777982572793,0.18775510204081636,0.9141914191419142
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,190,0.062047090381383896,0.28779855370521545,0.34984564781188965,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.9285714285714286,0.7918367346938775,1.0,0.9333333333333332,0.7954231708612084,1.0,0.9274821039526921,0.79189754921178,0.2081632653061225,0.9240924092409241
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,70,0.000647352309897542,0.25380444526672363,0.25445181131362915,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.7857142857142857,0.7020408163265306,1.0,0.7999999999999999,0.7087713709249229,1.0,0.7708683473389355,0.7044733044733045,0.2979591836734694,0.900990099009901
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,40,0.00020110535842832178,0.30258455872535706,0.3027856647968292,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.75,0.7142857142857143,1.0,0.75,0.7162578315811831,1.0,0.7484593837535014,0.7206857867525119,0.2857142857142857,0.9075907590759076
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,CDAN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,target validation labels,170,0.0009233156451955438,0.280011922121048,0.28093522787094116,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",30,30,0,0,273,28,245,1.0,0.8571428571428571,0.7795918367346939,1.0,0.8666666666666667,0.7851757459912924,1.0,0.8565203859321507,0.7741187304007617,0.2204081632653061,0.8976897689768977
