split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1,fit_id
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=2
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,validation,2.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=2
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,test,2.0,81,0.8888888888888888,0.88,0.8759818106655644,three_class_with_air|Random Forest|seed=2
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=2
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,validation,2.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=2
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,test,2.0,46,0.9130434782608695,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=2
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=2
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,validation,2.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=2
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,test,2.0,34,0.9411764705882353,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,train,3.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,validation,3.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,test,3.0,28,0.75,0.7666666666666666,0.7340930674264007,three_class_with_air|Random Forest|seed=3
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,train,3.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=3
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,validation,3.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=3
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,test,3.0,84,0.9404761904761905,0.9494949494949495,0.9493903841729928,three_class_with_air|Random Forest|seed=3
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,train,3.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=3
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,validation,3.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=3
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,test,3.0,81,0.9012345679012346,0.8933333333333334,0.8905309250136836,three_class_with_air|Random Forest|seed=3
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,train,3.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=3
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,validation,3.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=3
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,test,3.0,46,0.9782608695652174,0.9791666666666666,0.9791463017269469,three_class_with_air|Random Forest|seed=3
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,train,3.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=3
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,validation,3.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=3
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,test,3.0,34,0.9411764705882353,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,train,4.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,validation,4.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,test,4.0,28,0.7142857142857143,0.7333333333333334,0.6825396825396824,three_class_with_air|Random Forest|seed=4
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,train,4.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=4
