split,description,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,1.0,0.8461538461538461,0.8216216216216217,1.0,0.8666666666666666,0.8279720279720281,1.0,0.8411764705882353,0.8141586670598214,0.17837837837837833,0.024532224532224478,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,1.0,0.6923076923076923,0.6702702702702703,1.0,0.7333333333333334,0.6759906759906761,1.0,0.7306397306397306,0.6766306989404103,0.3297297297297297,0.022037422037421983,High train-test gap
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7391304347826086,0.6538461538461539,0.6378378378378379,0.7565359477124183,0.7000000000000001,0.6564102564102564,0.7397849462365592,0.6275946275946276,0.5972794304602086,0.10129259694477077,0.01600831600831598,Possible underfitting
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.9347826086956522,0.9615384615384616,0.8432432432432433,0.9411764705882352,0.9666666666666667,0.8475524475524475,0.9358900836320192,0.9568151147098516,0.8398452443053382,0.09153936545240893,0.11829521829521827,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.9347826086956522,0.8461538461538461,0.8324324324324325,0.9411764705882352,0.8666666666666666,0.8363636363636364,0.9339177978883861,0.8411764705882353,0.8340891588944981,0.10235017626321974,0.013721413721413667,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.9705882352941176,0.95,0.8076923076923077,0.9705882352941176,0.95,0.8076923076923077,0.9705627705627706,0.949874686716792,0.8003072196620584,0.16289592760180993,0.14230769230769225,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,0.95,0.8538461538461538,1.0,0.95,0.8538461538461539,1.0,0.949874686716792,0.8506560251526695,0.1461538461538462,0.09615384615384615,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.9411764705882353,0.65,0.6538461538461539,0.9411764705882353,0.6499999999999999,0.6538461538461539,0.9411764705882353,0.6491228070175439,0.6528395940893715,0.2873303167420814,-0.0038461538461538325,High train-test gap
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.7941176470588235,0.55,0.6,0.7941176470588236,0.55,0.6000000000000001,0.7925021795989537,0.4871794871794872,0.5305555555555557,0.1941176470588235,-0.04999999999999993,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,1.0,0.7923076923076923,1.0,1.0,0.7923076923076924,1.0,1.0,0.7855964815832877,0.20769230769230773,0.20769230769230773,Possible overfitting or domain shift
