representation,from_day,to_day,from_day_num,to_day_num,gas,drift_distance,angle_to_acetone_minus_alcohol_deg,projection_on_acetone_minus_alcohol,interpretation
uci48_features_zscore,Day1,Day2,1,2,acetone,9.775337593084943,150.4645134898115,-8.505037783995904,negative means movement toward alcohol side
uci48_features_zscore,Day1,Day2,1,2,balanced_all_available_gases,4.39225576392653,132.78816454833495,-2.9836142097854417,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day2,Day3,2,3,air,1.476464271024272,76.68353911087736,0.3400730097502153,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day2,Day3,2,3,alcohol,2.0680651490900224,92.40321654403066,-0.0867175777934984,positive means movement toward acetone side
uci48_features_zscore,Day2,Day3,2,3,acetone,4.053286694977378,128.86260934594455,-2.5432552068945817,negative means movement toward alcohol side
uci48_features_zscore,Day2,Day3,2,3,balanced_all_available_gases,1.9418738492900012,113.14590209148714,-0.7632999249792882,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day3,Day4,3,4,air,4.827047340583482,107.89372574700847,-1.4831219300535534,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day3,Day4,3,4,alcohol,2.3347213042908295,87.29190491870906,0.11030992977135833,positive means movement toward acetone side
uci48_features_zscore,Day3,Day4,3,4,acetone,1.757735483325237,125.88406458643898,-1.0302914521948634,negative means movement toward alcohol side
uci48_features_zscore,Day3,Day4,3,4,balanced_all_available_gases,2.227501876372886,111.07631658948998,-0.8010344841590195,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day4,Day5,4,5,air,4.735940002611976,63.21961217253575,2.1338818870957903,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day4,Day5,4,5,alcohol,3.5913610600746564,70.54013158809306,1.1964494556909775,positive means movement toward acetone side
uci48_features_zscore,Day4,Day5,4,5,acetone,5.4420106932683785,69.64458129803863,1.892963430272451,negative means movement toward alcohol side
uci48_features_zscore,Day4,Day5,4,5,balanced_all_available_gases,2.985807523811201,54.32937781687334,1.7410982576864065,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day5,Day6,5,6,air,1.6955063856333334,98.82477306126242,-0.2601128970367362,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day5,Day6,5,6,alcohol,1.87588972941438,97.51797795382272,-0.24543630207082834,positive means movement toward acetone side
uci48_features_zscore,Day5,Day6,5,6,acetone,4.566153251816095,135.43249290552825,-3.2530377497220164,negative means movement toward alcohol side
uci48_features_zscore,Day5,Day6,5,6,balanced_all_available_gases,1.9339348252562,130.37824355004895,-1.252862316276527,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day6,Day7,6,7,air,2.0906672426281414,88.26468178579583,0.06331039290516521,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day6,Day7,6,7,alcohol,4.039999977438857,75.52567398975737,1.0097824653386422,positive means movement toward acetone side
uci48_features_zscore,Day6,Day7,6,7,acetone,2.301909156320501,94.31330169310199,-0.1731271162795079,negative means movement toward alcohol side
