mode,classifier,sensors,mean_balanced_accuracy,mean_macro_f1,std_balanced_accuracy
new_bottle_holdout,gnb,s1+s3+s5,0.7666666666666666,0.7612958226768969,
new_bottle_holdout,gnb,s1+s4+s5,0.7333333333333334,0.7222222222222222,
new_bottle_holdout,gnb,s4+s5+s6,0.7333333333333334,0.7222222222222222,
new_bottle_holdout,gnb,s1+s5+s6,0.6333333333333333,0.6324143692564745,
new_bottle_holdout,lda,s1+s2+s3,1.0,1.0,
new_bottle_holdout,lda,s1+s3+s4,1.0,1.0,
new_bottle_holdout,lda,s1+s4+s6,1.0,1.0,
new_bottle_holdout,lda,s2+s3+s5,1.0,1.0,
new_bottle_holdout,lda,s2+s3+s6,1.0,1.0,
new_bottle_holdout,lda,s3+s4+s5,1.0,1.0,
new_bottle_holdout,lda,s3+s4+s6,1.0,1.0,
new_bottle_holdout,lda,s4+s5+s6,1.0,1.0,
new_bottle_holdout,lda,s1+s2+s6,0.9666666666666667,0.9628482972136223,
new_bottle_holdout,lda,s1+s4+s5,0.9666666666666667,0.9628482972136223,
new_bottle_holdout,lda,s2+s3+s4,0.9666666666666667,0.9628482972136223,
new_bottle_holdout,lda,s1+s2+s5,0.9333333333333332,0.9259259259259259,
new_bottle_holdout,lda,s2+s5+s6,0.9333333333333332,0.9326599326599326,
new_bottle_holdout,lda,s1+s2+s4,0.9,0.8885448916408668,
new_bottle_holdout,lda,s1+s3+s6,0.8666666666666667,0.861111111111111,
new_bottle_holdout,lda,s2+s4+s5,0.8666666666666667,0.861111111111111,
new_bottle_holdout,lda,s1+s3+s5,0.8333333333333334,0.8294970161977835,
new_bottle_holdout,lda,s3+s5+s6,0.8333333333333334,0.8222222222222223,
new_bottle_holdout,lda,s1+s5+s6,0.7666666666666666,0.7612958226768969,
new_bottle_holdout,lda,s2+s4+s6,0.7416666666666667,0.7533238366571701,
stratified_random_holdout,centroid,s1+s2+s3,0.9033333333333334,0.8928782962576745,0.034035512587499005
stratified_random_holdout,centroid,s2+s3+s5,0.9006060606060606,0.8907422575004165,0.03573323581594474
stratified_random_holdout,centroid,s2+s3+s6,0.8795265151515151,0.8681333401779512,0.04012679554939301
stratified_random_holdout,centroid,s1+s3+s4,0.8696969696969696,0.857613220543167,0.03912104390108501
stratified_random_holdout,centroid,s1+s2+s6,0.8651704545454545,0.8561152321253108,0.04068081193725399
stratified_random_holdout,centroid,s2+s3+s4,0.8650757575757576,0.8536536488485393,0.041932880812257364
stratified_random_holdout,centroid,s3+s4+s5,0.8604545454545455,0.8479408581960513,0.04019084016551494
stratified_random_holdout,centroid,s2+s5+s6,0.8497727272727273,0.840028699492793,0.03866913450830678
stratified_random_holdout,centroid,s1+s2+s5,0.8493939393939394,0.8396804734800984,0.038392295235795265
stratified_random_holdout,centroid,s3+s4+s6,0.8355303030303031,0.8196008922503389,0.04460056372586375
stratified_random_holdout,centroid,s2+s4+s5,0.8304924242424242,0.8201848736714507,0.04090358160478793
stratified_random_holdout,centroid,s1+s2+s4,0.8277272727272728,0.8166134894276647,0.04196121230229563
stratified_random_holdout,centroid,s1+s3+s5,0.7875757575757575,0.7725408048429343,0.04074579978556203
stratified_random_holdout,centroid,s3+s5+s6,0.7796969696969697,0.7630834374295845,0.040082513145402815
stratified_random_holdout,centroid,s1+s4+s5,0.7598484848484849,0.7445918547731684,0.0455500985250079
stratified_random_holdout,centroid,s1+s3+s6,0.7575757575757575,0.7403562080849462,0.04402928225798663
stratified_random_holdout,centroid,s1+s4+s6,0.7555871212121212,0.7375879742451268,0.049612153418573446
