mode,split_id,group,classifier,sensor,balanced_accuracy,macro_f1
original_points_stratified_random_holdout,15,,original_points_gnb,s1,0.6515151515151515,0.6498875627054143
original_points_stratified_random_holdout,15,,original_points_gnb,s2,0.7954545454545455,0.8077835785476982
original_points_stratified_random_holdout,15,,original_points_gnb,s3,0.4715909090909091,0.4657374661951321
original_points_stratified_random_holdout,15,,original_points_gnb,s4,0.7310606060606061,0.728859649122807
original_points_stratified_random_holdout,15,,original_points_gnb,s5,0.6609848484848485,0.6608204134366925
original_points_stratified_random_holdout,15,,original_points_gnb,s6,0.2518939393939394,0.23345729096236198
original_points_stratified_random_holdout,16,,original_points_centroid,s1,0.6515151515151515,0.6128009542643689
original_points_stratified_random_holdout,16,,original_points_centroid,s2,0.649621212121212,0.6403508771929824
original_points_stratified_random_holdout,16,,original_points_centroid,s3,0.48674242424242425,0.4699036245547874
original_points_stratified_random_holdout,16,,original_points_centroid,s4,0.6856060606060606,0.669237658711343
original_points_stratified_random_holdout,16,,original_points_centroid,s5,0.5151515151515151,0.45588927596271533
original_points_stratified_random_holdout,16,,original_points_centroid,s6,0.3674242424242424,0.26744478859761783
original_points_stratified_random_holdout,16,,original_points_gnb,s1,0.6666666666666666,0.6638888888888889
original_points_stratified_random_holdout,16,,original_points_gnb,s2,0.8162878787878789,0.8238150544770754
original_points_stratified_random_holdout,16,,original_points_gnb,s3,0.5132575757575758,0.5217060378350701
original_points_stratified_random_holdout,16,,original_points_gnb,s4,0.7045454545454546,0.711576354679803
original_points_stratified_random_holdout,16,,original_points_gnb,s5,0.7367424242424242,0.7399248186030247
original_points_stratified_random_holdout,16,,original_points_gnb,s6,0.3636363636363636,0.2686699072028281
original_points_stratified_random_holdout,17,,original_points_centroid,s1,0.6666666666666666,0.6307231493367564
original_points_stratified_random_holdout,17,,original_points_centroid,s2,0.6950757575757575,0.692799760384241
original_points_stratified_random_holdout,17,,original_points_centroid,s3,0.7310606060606061,0.7102417102417102
original_points_stratified_random_holdout,17,,original_points_centroid,s4,0.6344696969696969,0.6190580824727165
original_points_stratified_random_holdout,17,,original_points_centroid,s5,0.6666666666666666,0.6290786596784149
original_points_stratified_random_holdout,17,,original_points_centroid,s6,0.44696969696969696,0.43703703703703695
original_points_stratified_random_holdout,17,,original_points_gnb,s1,0.6912878787878788,0.6848381407521194
original_points_stratified_random_holdout,17,,original_points_gnb,s2,0.806818181818182,0.8150793650793652
original_points_stratified_random_holdout,17,,original_points_gnb,s3,0.5928030303030303,0.575725601091743
original_points_stratified_random_holdout,17,,original_points_gnb,s4,0.6534090909090908,0.6656186612576064
original_points_stratified_random_holdout,17,,original_points_gnb,s5,0.6912878787878788,0.6848381407521194
original_points_stratified_random_holdout,17,,original_points_gnb,s6,0.32386363636363635,0.28806858775899025
original_points_stratified_random_holdout,18,,original_points_centroid,s1,0.5606060606060607,0.5030398819872505
original_points_stratified_random_holdout,18,,original_points_centroid,s2,0.6344696969696969,0.6196508476712673
original_points_stratified_random_holdout,18,,original_points_centroid,s3,0.5170454545454545,0.49471210340775557
original_points_stratified_random_holdout,18,,original_points_centroid,s4,0.6041666666666666,0.5841260841260841
original_points_stratified_random_holdout,18,,original_points_centroid,s5,0.5303030303030303,0.4375323651919396
original_points_stratified_random_holdout,18,,original_points_centroid,s6,0.331439393939394,0.29669454400637196
original_points_stratified_random_holdout,18,,original_points_gnb,s1,0.6306818181818182,0.6327847267939434
original_points_stratified_random_holdout,18,,original_points_gnb,s2,0.7613636363636364,0.7622912017312503
original_points_stratified_random_holdout,18,,original_points_gnb,s3,0.5132575757575758,0.5227625088090204
original_points_stratified_random_holdout,18,,original_points_gnb,s4,0.7045454545454546,0.711576354679803
original_points_stratified_random_holdout,18,,original_points_gnb,s5,0.6458333333333334,0.65221027479092
original_points_stratified_random_holdout,18,,original_points_gnb,s6,0.34848484848484845,0.27434257285003555
original_points_stratified_random_holdout,19,,original_points_centroid,s1,0.5757575757575758,0.5518690342878473
original_points_stratified_random_holdout,19,,original_points_centroid,s2,0.725378787878788,0.7130647130647131
original_points_stratified_random_holdout,19,,original_points_centroid,s3,0.6704545454545454,0.6574074074074074
original_points_stratified_random_holdout,19,,original_points_centroid,s4,0.7518939393939394,0.727796234772979
original_points_stratified_random_holdout,19,,original_points_centroid,s5,0.5757575757575758,0.5365124035855743
original_points_stratified_random_holdout,19,,original_points_centroid,s6,0.4356060606060606,0.39877450980392154
original_points_stratified_random_holdout,19,,original_points_gnb,s1,0.625,0.6193362193362193
original_points_stratified_random_holdout,19,,original_points_gnb,s2,0.8106060606060606,0.8119365700010861
original_points_stratified_random_holdout,19,,original_points_gnb,s3,0.45075757575757575,0.42945041816009555
original_points_stratified_random_holdout,19,,original_points_gnb,s4,0.7556818181818182,0.7566856452726017
original_points_stratified_random_holdout,19,,original_points_gnb,s5,0.6136363636363636,0.6282396848434585
original_points_stratified_random_holdout,19,,original_points_gnb,s6,0.37878787878787884,0.3137254901960784
original_points_stratified_random_holdout,20,,original_points_centroid,s1,0.6060606060606061,0.5702075702075703
original_points_stratified_random_holdout,20,,original_points_centroid,s2,0.6950757575757575,0.6851851851851851
original_points_stratified_random_holdout,20,,original_points_centroid,s3,0.6098484848484848,0.5956210756210757
original_points_stratified_random_holdout,20,,original_points_centroid,s4,0.6496212121212122,0.6235171341554321
original_points_stratified_random_holdout,20,,original_points_centroid,s5,0.6212121212121212,0.5793650793650794
original_points_stratified_random_holdout,20,,original_points_centroid,s6,0.4071969696969697,0.37243018419489005
original_points_stratified_random_holdout,20,,original_points_gnb,s1,0.6856060606060606,0.6944444444444445
original_points_stratified_random_holdout,20,,original_points_gnb,s2,0.8162878787878788,0.8206388476551764
original_points_stratified_random_holdout,20,,original_points_gnb,s3,0.4318181818181818,0.43888888888888894
original_points_stratified_random_holdout,20,,original_points_gnb,s4,0.6988636363636364,0.7111801242236025
original_points_stratified_random_holdout,20,,original_points_gnb,s5,0.6818181818181818,0.6715229215229216
original_points_stratified_random_holdout,20,,original_points_gnb,s6,0.3181818181818182,0.26196928635953026
original_points_stratified_random_holdout,21,,original_points_centroid,s1,0.6515151515151515,0.6166666666666667
original_points_stratified_random_holdout,21,,original_points_centroid,s2,0.6799242424242423,0.6724408619145462
original_points_stratified_random_holdout,21,,original_points_centroid,s3,0.6761363636363636,0.6420819490586932
original_points_stratified_random_holdout,21,,original_points_centroid,s4,0.5890151515151515,0.5618754643144888
original_points_stratified_random_holdout,21,,original_points_centroid,s5,0.5606060606060606,0.510108604845447
original_points_stratified_random_holdout,21,,original_points_centroid,s6,0.45265151515151514,0.40304274863098394
original_points_stratified_random_holdout,21,,original_points_gnb,s1,0.712121212121212,0.7083551369265654
original_points_stratified_random_holdout,21,,original_points_gnb,s2,0.8276515151515152,0.8279817505621866
original_points_stratified_random_holdout,21,,original_points_gnb,s3,0.5795454545454546,0.5894101195016527
original_points_stratified_random_holdout,21,,original_points_gnb,s4,0.7102272727272728,0.7188888888888889
original_points_stratified_random_holdout,21,,original_points_gnb,s5,0.6666666666666666,0.6666666666666666
original_points_stratified_random_holdout,21,,original_points_gnb,s6,0.34848484848484845,0.2769230769230769
original_points_stratified_random_holdout,22,,original_points_centroid,s1,0.5757575757575758,0.5423675423675424
original_points_stratified_random_holdout,22,,original_points_centroid,s2,0.7196969696969697,0.7191242892821087
original_points_stratified_random_holdout,22,,original_points_centroid,s3,0.6098484848484849,0.5851957220378273
original_points_stratified_random_holdout,22,,original_points_centroid,s4,0.6950757575757575,0.68009768009768
original_points_stratified_random_holdout,22,,original_points_centroid,s5,0.5303030303030303,0.48333333333333334
original_points_stratified_random_holdout,22,,original_points_centroid,s6,0.41287878787878785,0.33083083083083076
original_points_stratified_random_holdout,22,,original_points_gnb,s1,0.6098484848484849,0.6207178806481942
original_points_stratified_random_holdout,22,,original_points_gnb,s2,0.7859848484848485,0.7895125955401894
original_points_stratified_random_holdout,22,,original_points_gnb,s3,0.5075757575757576,0.5103223174214607
original_points_stratified_random_holdout,22,,original_points_gnb,s4,0.7916666666666666,0.7929640200657326
original_points_stratified_random_holdout,22,,original_points_gnb,s5,0.6761363636363636,0.6736111111111112
