mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,3,,centroid,without_s5,s5,45,0.8833333333333333,0.893939393939394,0.8835528665364173,-0.030303030303030387,-0.03176403857061827
stratified_random_holdout,3,,centroid,without_s6,s6,45,0.85,0.8636363636363636,0.851788827965799,0.0,0.0
stratified_random_holdout,4,,lda,all,,54,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,4,,lda,without_s1,s1,45,0.95,0.9545454545454546,0.9493844049247606,0.030303030303030276,0.03276264698973319
stratified_random_holdout,4,,lda,without_s2,s2,45,0.95,0.9545454545454546,0.9518037518037517,0.030303030303030276,0.030343300110742155
stratified_random_holdout,4,,lda,without_s3,s3,45,0.9666666666666667,0.9696969696969697,0.9645191409897292,0.015151515151515138,0.017627910924764567
stratified_random_holdout,4,,lda,without_s4,s4,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,4,,lda,without_s5,s5,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,4,,lda,without_s6,s6,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,4,,gnb,all,,54,0.9,0.9034090909090909,0.9067557293363745,0.0,0.0
stratified_random_holdout,4,,gnb,without_s1,s1,45,0.9,0.9034090909090909,0.9067557293363745,0.0,0.0
stratified_random_holdout,4,,gnb,without_s2,s2,45,0.7833333333333333,0.7973484848484849,0.7928123742165488,0.10606060606060608,0.11394335511982567
stratified_random_holdout,4,,gnb,without_s3,s3,45,0.9,0.9034090909090909,0.9067557293363745,0.0,0.0
stratified_random_holdout,4,,gnb,without_s4,s4,45,0.95,0.9488636363636364,0.9518735744542196,-0.045454545454545414,-0.04511784511784511
stratified_random_holdout,4,,gnb,without_s5,s5,45,0.9,0.9034090909090909,0.9067557293363745,0.0,0.0
stratified_random_holdout,4,,gnb,without_s6,s6,45,0.9,0.9034090909090909,0.9067557293363745,0.0,0.0
stratified_random_holdout,4,,centroid,all,,54,0.9166666666666666,0.9242424242424243,0.9164267257290514,0.0,0.0
stratified_random_holdout,4,,centroid,without_s1,s1,45,0.9166666666666666,0.9242424242424243,0.9153439153439153,0.0,0.0010828103851360238
stratified_random_holdout,4,,centroid,without_s2,s2,45,0.8666666666666667,0.8787878787878789,0.8675084175084176,0.045454545454545414,0.04891830822063381
stratified_random_holdout,4,,centroid,without_s3,s3,45,0.8333333333333334,0.8484848484848485,0.8377999261720191,0.0757575757575758,0.07862679955703222
stratified_random_holdout,4,,centroid,without_s4,s4,45,0.9166666666666666,0.9242424242424243,0.9164267257290514,0.0,0.0
stratified_random_holdout,4,,centroid,without_s5,s5,45,0.9,0.9090909090909092,0.8990567425054096,0.015151515151515138,0.017369983223641805
stratified_random_holdout,4,,centroid,without_s6,s6,45,0.9,0.9090909090909092,0.9009228497600591,0.015151515151515138,0.015503875968992276
