split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1
S4_train_I_val_D1_2,three_class_with_air,Random Forest,test,1.0,245,0.8285714285714286,0.8372093023255814,0.8268871315600288
S4_train_I_val_D1_2,three_class_with_air,Random Forest,train,2.0,58,0.9482758620689655,0.9545454545454546,0.9545219638242894
S4_train_I_val_D1_2,three_class_with_air,Random Forest,validation,2.0,28,0.75,0.7666666666666666,0.7340930674264007
S4_train_I_val_D1_2,three_class_with_air,Random Forest,test,2.0,245,0.8367346938775511,0.8449612403100776,0.8360968172288926
S4_train_I_val_D1_2,three_class_with_air,Random Forest,train,3.0,58,0.9655172413793104,0.9696969696969697,0.9696969696969697
S4_train_I_val_D1_2,three_class_with_air,Random Forest,validation,3.0,28,0.75,0.7666666666666666,0.7340930674264007
S4_train_I_val_D1_2,three_class_with_air,Random Forest,test,3.0,245,0.8244897959183674,0.8333333333333334,0.8222222222222223
S4_train_I_val_D1_2,three_class_with_air,Random Forest,train,4.0,58,0.9655172413793104,0.9696969696969697,0.9696969696969697
S4_train_I_val_D1_2,three_class_with_air,Random Forest,validation,4.0,28,0.75,0.7666666666666666,0.7340930674264007
S4_train_I_val_D1_2,three_class_with_air,Random Forest,test,4.0,245,0.8122448979591836,0.8217054263565892,0.8079704868695695
S4_train_I_val_D1_2,three_class_with_air,RBF SVM,train,,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,RBF SVM,validation,,28,0.9642857142857143,0.9666666666666667,0.9665831244778612
S4_train_I_val_D1_2,three_class_with_air,RBF SVM,test,,245,0.9061224489795918,0.9067112668578104,0.9099352566605358
S4_train_I_val_D1_2,three_class_with_air,MLP,train,0.0,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,MLP,validation,0.0,28,0.8214285714285714,0.8333333333333334,0.8137254901960785
S4_train_I_val_D1_2,three_class_with_air,MLP,test,0.0,245,0.8367346938775511,0.8408197939895933,0.8324943873330971
S4_train_I_val_D1_2,three_class_with_air,MLP,train,1.0,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,MLP,validation,1.0,28,0.8928571428571429,0.9,0.8912655971479501
S4_train_I_val_D1_2,three_class_with_air,MLP,test,1.0,245,0.8408163265306122,0.8453860040352553,0.8396490902072644
S4_train_I_val_D1_2,three_class_with_air,MLP,train,2.0,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,MLP,validation,2.0,28,0.7857142857142857,0.7916666666666666,0.7777777777777778
S4_train_I_val_D1_2,three_class_with_air,MLP,test,2.0,245,0.7918367346938775,0.7981841350748646,0.7851535328076893
S4_train_I_val_D1_2,three_class_with_air,MLP,train,3.0,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,MLP,validation,3.0,28,0.75,0.7583333333333333,0.75
S4_train_I_val_D1_2,three_class_with_air,MLP,test,3.0,245,0.8122448979591836,0.8182542210895188,0.8039424918179089
S4_train_I_val_D1_2,three_class_with_air,MLP,train,4.0,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,MLP,validation,4.0,28,0.8214285714285714,0.8250000000000001,0.8194444444444445
S4_train_I_val_D1_2,three_class_with_air,MLP,test,4.0,245,0.8326530612244898,0.8362535839439312,0.8312941483547855
S5_train_I_D1_val_D2_3,three_class_with_air,LDA,train,,72,0.9583333333333334,0.9629629629629629,0.9552491533623609
S5_train_I_D1_val_D2_3,three_class_with_air,LDA,validation,,26,0.8076923076923077,0.8333333333333334,0.8023809523809523
S5_train_I_D1_val_D2_3,three_class_with_air,LDA,test,,231,0.8831168831168831,0.8831633565933084,0.8862516096355728
S5_train_I_D1_val_D2_3,three_class_with_air,Logistic Regression,train,,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,Logistic Regression,validation,,26,0.9615384615384616,0.9666666666666667,0.9665831244778613
S5_train_I_D1_val_D2_3,three_class_with_air,Logistic Regression,test,,231,0.9307359307359307,0.9320093039899803,0.9332263814616756
S5_train_I_D1_val_D2_3,three_class_with_air,kNN,train,,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,kNN,validation,,26,0.6923076923076923,0.7333333333333334,0.7306397306397306
S5_train_I_D1_val_D2_3,three_class_with_air,kNN,test,,231,0.8398268398268398,0.8384326355340849,0.8427024013980535
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,train,0.0,72,0.9305555555555556,0.9382716049382717,0.9380804953560372
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,validation,0.0,26,0.8076923076923077,0.8333333333333334,0.8222222222222223
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,test,0.0,231,0.8961038961038961,0.9012345679012346,0.8993788819875776
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,train,1.0,72,0.9305555555555556,0.9382716049382717,0.9380804953560372
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,validation,1.0,26,0.8076923076923077,0.8333333333333334,0.8222222222222223
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,test,1.0,231,0.8961038961038961,0.9012345679012346,0.8993788819875776
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,train,2.0,72,0.9305555555555556,0.9382716049382717,0.9380804953560372
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,validation,2.0,26,0.8461538461538461,0.8666666666666667,0.8611111111111112
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,test,2.0,231,0.8961038961038961,0.9012345679012346,0.8993788819875776
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,train,3.0,72,0.9305555555555556,0.9382716049382717,0.9380804953560372
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,validation,3.0,26,0.8461538461538461,0.8666666666666667,0.8611111111111112
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,test,3.0,231,0.8961038961038961,0.9012345679012346,0.8993788819875776
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,train,4.0,72,0.9305555555555556,0.9382716049382717,0.9380804953560372
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,validation,4.0,26,0.8461538461538461,0.8666666666666667,0.8611111111111112
S5_train_I_D1_val_D2_3,three_class_with_air,Random Forest,test,4.0,231,0.8917748917748918,0.897119341563786,0.8950029165856505
S5_train_I_D1_val_D2_3,three_class_with_air,RBF SVM,train,,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,RBF SVM,validation,,26,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,RBF SVM,test,,231,0.9134199134199135,0.9141170155662909,0.9169029053771417
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,train,0.0,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,validation,0.0,26,0.8076923076923077,0.8333333333333334,0.8010835913312694
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,test,0.0,231,0.8874458874458875,0.8908570406154946,0.8869374923255223
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,train,1.0,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,validation,1.0,26,0.8461538461538461,0.8666666666666666,0.8411764705882353
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,test,1.0,231,0.8787878787878788,0.8804795133297549,0.8794136159099663
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,train,2.0,72,1.0,1.0,1.0
