split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,1.0,air,81,81,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,1.0,alcohol,96,94,0.851063829787234,0.8333333333333334,0.8421052631578947
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,1.0,acetone,96,98,0.8367346938775511,0.8541666666666666,0.845360824742268
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,2.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,2.0,alcohol,12,15,0.8,1.0,0.8888888888888888
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,2.0,acetone,12,9,1.0,0.75,0.8571428571428571
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,2.0,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,2.0,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,2.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,2.0,air,81,81,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,2.0,alcohol,96,98,0.8469387755102041,0.8645833333333334,0.8556701030927835
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,2.0,acetone,96,94,0.8617021276595744,0.84375,0.8526315789473684
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,3.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,3.0,alcohol,12,15,0.8,1.0,0.8888888888888888
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,3.0,acetone,12,9,1.0,0.75,0.8571428571428571
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,3.0,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,3.0,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,3.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,3.0,air,81,81,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,3.0,alcohol,96,101,0.8613861386138614,0.90625,0.883248730964467
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,3.0,acetone,96,91,0.9010989010989011,0.8541666666666666,0.8770053475935828
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,4.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,4.0,alcohol,12,15,0.8,1.0,0.8888888888888888
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,4.0,acetone,12,9,1.0,0.75,0.8571428571428571
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,4.0,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,4.0,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,4.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,4.0,air,81,81,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,4.0,alcohol,96,93,0.8494623655913979,0.8229166666666666,0.8359788359788359
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,4.0,acetone,96,99,0.8282828282828283,0.8541666666666666,0.841025641025641
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,train,,air,6,8,0.75,1.0,0.8571428571428571
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,train,,alcohol,12,14,0.7857142857142857,0.9166666666666666,0.8461538461538461
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,train,,acetone,12,8,1.0,0.6666666666666666,0.8
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,validation,,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,validation,,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,validation,,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,test,,air,81,79,0.9240506329113924,0.9012345679012346,0.9125
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,test,,alcohol,96,126,0.5476190476190477,0.71875,0.6216216216216216
S2_train_I_internal_val_test_all,three_class_with_air,RBF SVM,test,,acetone,96,68,0.6617647058823529,0.46875,0.5487804878048781
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,0.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,0.0,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,0.0,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,0.0,air,1,3,0.3333333333333333,1.0,0.5
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,0.0,alcohol,2,1,1.0,0.5,0.6666666666666666
