split,description,task,model,random_state,tuning_random_state,tuning_seed_values,protocol_version,preprocessing,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,LDA,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,0.9310344827586207,0.8571428571428571,0.8816326530612245,0.9393939393939394,0.85,0.8841456939577359,0.9282001764299168,0.8515037593984962,0.880205981382452
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Logistic Regression,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,1.0,0.8928571428571429,0.9183673469387755,1.0,0.8833333333333333,0.9197196559413826,1.0,0.8913588318622643,0.9217000722282412
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,kNN,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",n_neighbors=7,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,0.8448275862068966,0.7857142857142857,0.7346938775510204,0.8549783549783551,0.8000000000000002,0.7459912923436338,0.8439848057252407,0.7979797979797979,0.7308541458003511
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Random Forest,0.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=log2;max_depth=3;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,0.9655172413793104,0.75,0.8163265306122449,0.9696969696969697,0.7666666666666666,0.8255813953488372,0.9696969696969697,0.7340930674264007,0.812765339816394
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Random Forest,1.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=log2;max_depth=3;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,0.9827586206896551,0.75,0.8285714285714286,0.9848484848484849,0.7666666666666666,0.8372093023255814,0.9848406546080964,0.7340930674264007,0.8268871315600288
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Random Forest,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=log2;max_depth=3;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,0.9482758620689655,0.75,0.8367346938775511,0.9545454545454546,0.7666666666666666,0.8449612403100776,0.9545219638242894,0.7340930674264007,0.8360968172288926
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Random Forest,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=log2;max_depth=3;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,0.9655172413793104,0.75,0.8244897959183674,0.9696969696969697,0.7666666666666666,0.8333333333333334,0.9696969696969697,0.7340930674264007,0.8222222222222223
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Random Forest,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=log2;max_depth=3;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,0.9655172413793104,0.75,0.8122448979591836,0.9696969696969697,0.7666666666666666,0.8217054263565892,0.9696969696969697,0.7340930674264007,0.8079704868695695
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,RBF SVM,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=10.0;gamma=0.01,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,1.0,0.9642857142857143,0.9061224489795918,1.0,0.9666666666666667,0.9067112668578104,1.0,0.9665831244778612,0.9099352566605358
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,MLP,0.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,1.0,0.8214285714285714,0.8367346938775511,1.0,0.8333333333333334,0.8408197939895933,1.0,0.8137254901960785,0.8324943873330971
