experiment,feature_dim,split,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,fit_assessment
amplitude_only,1,S6_train_I_D1_3_val_D4_5,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.7037037037037037,0.6,0.5636363636363636,0.7037037037037037,0.6,0.5636363636363636,0.6931818181818181,0.5604395604395604,0.5045045045045045,0.14006734006734012,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.7222222222222222,0.6,0.5363636363636364,0.7222222222222222,0.6,0.5363636363636364,0.7101967799642217,0.5604395604395604,0.46156061042326524,0.18585858585858583,Possible underfitting
shape_normalized,54,S1_train_I_test_all,three_class_with_air,LDA,shrinkage=0.1,fixed_default_no_validation,30,0,227,1.0,,0.9074889867841409,1.0,,0.9019900497512437,1.0,,0.9079694350253975,0.09251101321585908,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,three_class_with_air,Logistic Regression,l2=0.01,fixed_default_no_validation,30,0,227,1.0,,0.775330396475771,1.0,,0.7777985074626864,1.0,,0.7756693240718814,0.22466960352422904,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,three_class_with_air,kNN,k=3,fixed_default_no_validation,30,0,227,0.9333333333333333,,0.920704845814978,0.9444444444444445,,0.9112562189054726,0.9307226107226106,,0.913974202435741,0.012628487518355325,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,three_class_with_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,30,0,227,0.9,,0.9427312775330396,0.9166666666666666,,0.9369402985074626,0.9153439153439153,,0.94041387343698,-0.042731277533039624,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,fixed_default_no_validation,30,0,227,1.0,,0.9118942731277533,1.0,,0.9053482587064675,1.0,,0.909987764942963,0.08810572687224671,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,binary_without_air,LDA,shrinkage=0.1,fixed_default_no_validation,24,0,160,1.0,,0.9625,1.0,,0.9625,1.0,,0.9624471913628541,0.03749999999999998,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,binary_without_air,Logistic Regression,l2=0.01,fixed_default_no_validation,24,0,160,1.0,,0.81875,1.0,,0.81875,1.0,,0.81259340037966,0.18125000000000002,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,binary_without_air,kNN,k=3,fixed_default_no_validation,24,0,160,0.9583333333333334,,0.96875,0.9583333333333333,,0.96875,0.9582608695652175,,0.9687194525904204,-0.01041666666666663,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,binary_without_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,24,0,160,0.875,,0.9625,0.875,,0.9625,0.873015873015873,,0.9625000000000001,-0.08750000000000002,Reasonable or mild shift
shape_normalized,54,S1_train_I_test_all,binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,fixed_default_no_validation,24,0,160,1.0,,0.975,1.0,,0.975,1.0,,0.9749843652282677,0.025000000000000022,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.8766519823788547,1.0,0.8333333333333334,0.8631218905472636,1.0,0.8222222222222223,0.8655763861188671,0.12334801762114533,Reasonable or mild shift
