variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
DANN-semi,0.2,23,380,46,30,16,26,185,1.0,0.7307692307692307,0.827027027027027,1.0,0.7666666666666666,0.8331002331002332,1.0,0.7132034632034632,0.822891781645621,0.17297297297297298,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.5,3,110,46,30,16,26,185,0.8695652173913043,0.8076923076923077,0.7135135135135136,0.8823529411764706,0.8333333333333334,0.7244755244755244,0.8686040044493882,0.8061002178649238,0.7087317588804515,0.15605170387779077,0.717391304347826,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.5,7,170,46,30,16,26,185,0.8913043478260869,0.8076923076923077,0.7783783783783784,0.9019607843137255,0.8333333333333334,0.7860139860139861,0.890993265993266,0.8010835913312694,0.7776268115942028,0.1129259694477085,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.5,11,100,46,30,16,26,185,0.9130434782608695,0.9615384615384616,0.8108108108108109,0.9215686274509803,0.9666666666666667,0.8195804195804195,0.9100218777638133,0.9568151147098516,0.8103139885292117,0.10223266745005866,0.6956521739130435,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.5,17,70,46,30,16,26,185,0.8695652173913043,0.7307692307692307,0.7513513513513513,0.8823529411764706,0.7666666666666666,0.7631701631701632,0.8680555555555555,0.7126984126984127,0.7332097656715981,0.11821386603995299,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.5,23,230,46,30,16,26,185,0.9565217391304348,0.8076923076923077,0.8216216216216217,0.9607843137254902,0.8333333333333334,0.827039627039627,0.9563095238095238,0.7999999999999999,0.8186652676820123,0.13490011750881314,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
MLP source only,0.0,3,60,24,24,10,20,130,0.875,0.85,0.7538461538461538,0.875,0.85,0.7538461538461538,0.873015873015873,0.8465473145780051,0.74,0.12115384615384617,0.38235294117647056,closer_to_0.5_is_more_invariant,binary_without_air
MLP source only,0.0,7,350,24,24,10,20,130,1.0,0.95,0.8153846153846154,1.0,0.95,0.8153846153846154,1.0,0.949874686716792,0.8109090909090908,0.18461538461538463,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
MLP source only,0.0,11,60,24,24,10,20,130,0.9166666666666666,0.95,0.8692307692307693,0.9166666666666667,0.95,0.8692307692307693,0.916083916083916,0.949874686716792,0.8669556318102463,0.04743589743589738,0.5882352941176471,closer_to_0.5_is_more_invariant,binary_without_air
MLP source only,0.0,17,450,24,24,10,20,130,1.0,0.95,0.8307692307692308,1.0,0.95,0.8307692307692308,1.0,0.949874686716792,0.8266666666666667,0.16923076923076918,0.5,closer_to_0.5_is_more_invariant,binary_without_air
