Task,Split,Model,Final training,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,Logistic Regression,train_val_refit,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.9897959183673468,0.9230769230769232,0.9622641509433962,0.990990990990991,0.9333333333333332,0.962152133580705,0.9886310688659026,0.9214489214489214,0.961914426867698,0.0275317674239506,-0.0391872278664731,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,kNN,train_val_refit,k=3,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.8775510204081632,0.8846153846153846,0.8930817610062893,0.8821321321321322,0.9,0.8954854669140383,0.8777464788732394,0.8897028897028897,0.895062952622946,-0.015530740598126,-0.0084663763909047,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.7040816326530612,0.6153846153846154,0.7484276729559748,0.7338588588588589,0.6666666666666666,0.7575757575757575,0.7072174529801648,0.6124223602484471,0.730924330924331,-0.0443460403029135,-0.1330430575713593,Underfitting
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,RBF LS-SVM,train_val_refit,gamma=0.5;C=1.0,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.9591836734693876,0.9230769230769232,0.949685534591195,0.959084084084084,0.9333333333333332,0.9507730364873224,0.956735399867879,0.9326599326599326,0.9497681911048248,0.0094981388781927,-0.0266086115142718,Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,MLP,train_val_refit,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,98,26,159,0.9897959183673468,0.9615384615384616,0.9622641509433962,0.990990990990991,0.9666666666666668,0.9599257884972172,0.9886310688659026,0.9568151147098516,0.9608662613981762,0.0275317674239506,-0.0007256894049346,Best; Acceptable
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,LDA,train_val_refit,shrinkage=0.1,fixed_default_no_validation,24,0,160,1.0,,0.63125,1.0,,0.63125,1.0,,0.5732175957321759,0.36875,,High gap
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,Logistic Regression,train_val_refit,l2=0.01,fixed_default_no_validation,24,0,160,1.0,,0.79375,1.0,,0.79375,1.0,,0.7867442142251303,0.20625,,Acceptable
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,kNN,train_val_refit,k=3,fixed_default_no_validation,24,0,160,0.9166666666666666,,0.64375,0.9166666666666666,,0.64375,0.9166666666666666,,0.6437360834407594,0.2729166666666666,,High gap
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,Random Forest,train_val_refit,subspace=2.0,fixed_default_no_validation,24,0,160,0.8333333333333334,,0.5625,0.8333333333333333,,0.5625,0.8285714285714285,,0.5391705069124424,0.2708333333333333,,High gap
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,RBF LS-SVM,train_val_refit,gamma=1.0;C=10.0,fixed_default_no_validation,24,0,160,1.0,,0.8125,1.0,,0.8125,1.0,,0.8088867654085046,0.1875,,Acceptable
Binary classification: alcohol / acetone only,Split 1: Train Period I only; no validation; test all Period II/III,MLP,train_val_refit,h=16;l2=0.001;lr=0.01,fixed_default_no_validation,24,0,160,1.0,,0.8375,1.0,,0.8375,1.0,,0.834920634920635,0.1624999999999999,,Best; Acceptable
