samples_per_class,repeat,model,accuracy,train_files,test_n
1,44,LDA,0.5,alcohol_o11.csv;acetone_o7.csv,14
1,44,Logistic Regression,0.21428571428571427,alcohol_o11.csv;acetone_o7.csv,14
1,44,kNN,0.5,alcohol_o11.csv;acetone_o7.csv,14
1,44,Random Forest,0.5,alcohol_o11.csv;acetone_o7.csv,14
1,44,RBF LS-SVM,0.21428571428571427,alcohol_o11.csv;acetone_o7.csv,14
1,45,LDA,0.5,alcohol_o7.csv;acetone_o9.csv,14
1,45,Logistic Regression,0.5,alcohol_o7.csv;acetone_o9.csv,14
1,45,kNN,0.5,alcohol_o7.csv;acetone_o9.csv,14
1,45,Random Forest,0.5714285714285714,alcohol_o7.csv;acetone_o9.csv,14
1,45,RBF LS-SVM,0.5,alcohol_o7.csv;acetone_o9.csv,14
1,46,LDA,0.5,alcohol_o9.csv;acetone_o1.csv,14
1,46,Logistic Regression,0.0,alcohol_o9.csv;acetone_o1.csv,14
1,46,kNN,0.5,alcohol_o9.csv;acetone_o1.csv,14
1,46,Random Forest,0.07142857142857142,alcohol_o9.csv;acetone_o1.csv,14
1,46,RBF LS-SVM,0.0,alcohol_o9.csv;acetone_o1.csv,14
1,47,LDA,0.5,alcohol_o7.csv;acetone_o6.csv,14
1,47,Logistic Regression,0.42857142857142855,alcohol_o7.csv;acetone_o6.csv,14
1,47,kNN,0.5,alcohol_o7.csv;acetone_o6.csv,14
1,47,Random Forest,0.42857142857142855,alcohol_o7.csv;acetone_o6.csv,14
1,47,RBF LS-SVM,0.42857142857142855,alcohol_o7.csv;acetone_o6.csv,14
1,48,LDA,0.5,alcohol_o7.csv;acetone_o5.csv,14
1,48,Logistic Regression,0.5714285714285714,alcohol_o7.csv;acetone_o5.csv,14
1,48,kNN,0.5,alcohol_o7.csv;acetone_o5.csv,14
1,48,Random Forest,0.5714285714285714,alcohol_o7.csv;acetone_o5.csv,14
1,48,RBF LS-SVM,0.5714285714285714,alcohol_o7.csv;acetone_o5.csv,14
1,49,LDA,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,49,Logistic Regression,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,49,kNN,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,49,Random Forest,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,49,RBF LS-SVM,0.5,alcohol_o11.csv;acetone_o1.csv,14
1,50,LDA,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,50,Logistic Regression,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,50,kNN,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,50,Random Forest,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,50,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,51,LDA,0.5,alcohol_o9.csv;acetone_o6.csv,14
1,51,Logistic Regression,0.5714285714285714,alcohol_o9.csv;acetone_o6.csv,14
1,51,kNN,0.5,alcohol_o9.csv;acetone_o6.csv,14
1,51,Random Forest,0.6428571428571429,alcohol_o9.csv;acetone_o6.csv,14
1,51,RBF LS-SVM,0.5714285714285714,alcohol_o9.csv;acetone_o6.csv,14
1,52,LDA,0.5,alcohol_o12.csv;acetone_o9.csv,14
1,52,Logistic Regression,0.5,alcohol_o12.csv;acetone_o9.csv,14
1,52,kNN,0.5,alcohol_o12.csv;acetone_o9.csv,14
1,52,Random Forest,0.5714285714285714,alcohol_o12.csv;acetone_o9.csv,14
1,52,RBF LS-SVM,0.5,alcohol_o12.csv;acetone_o9.csv,14
1,53,LDA,0.5,alcohol_o12.csv;acetone_o4.csv,14
1,53,Logistic Regression,0.6428571428571429,alcohol_o12.csv;acetone_o4.csv,14
1,53,kNN,0.5,alcohol_o12.csv;acetone_o4.csv,14
1,53,Random Forest,0.5714285714285714,alcohol_o12.csv;acetone_o4.csv,14
1,53,RBF LS-SVM,0.6428571428571429,alcohol_o12.csv;acetone_o4.csv,14
1,54,LDA,0.5,alcohol_o6.csv;acetone_o4.csv,14
1,54,Logistic Regression,0.5,alcohol_o6.csv;acetone_o4.csv,14
1,54,kNN,0.5,alcohol_o6.csv;acetone_o4.csv,14
1,54,Random Forest,0.5,alcohol_o6.csv;acetone_o4.csv,14
1,54,RBF LS-SVM,0.5,alcohol_o6.csv;acetone_o4.csv,14
1,55,LDA,0.5,alcohol_o1.csv;acetone_o11.csv,14
1,55,Logistic Regression,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,55,kNN,0.5,alcohol_o1.csv;acetone_o11.csv,14
1,55,Random Forest,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,55,RBF LS-SVM,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,56,LDA,0.5,alcohol_o10.csv;acetone_o6.csv,14
1,56,Logistic Regression,0.42857142857142855,alcohol_o10.csv;acetone_o6.csv,14
1,56,kNN,0.5,alcohol_o10.csv;acetone_o6.csv,14
1,56,Random Forest,0.42857142857142855,alcohol_o10.csv;acetone_o6.csv,14
1,56,RBF LS-SVM,0.42857142857142855,alcohol_o10.csv;acetone_o6.csv,14
