architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9219512195121952,1.0,0.9170731707317074,0.9124375884939265,0.9157031062576811,-0.004878048780487809
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8878048780487805,1.0,0.8878048780487805,0.8842685744094195,0.887774052170944,0.0
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8585365853658536,1.0,0.8682926829268293,0.8660854012966688,0.8693020719738277,0.009756097560975618
one-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,0,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7655677655677655,1.0,0.8058608058608059,0.8050411522633745,0.8063241106719367,0.04029304029304037
one-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,1,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7728937728937729,1.0,0.7948717948717948,0.7952674897119341,0.800989465106804,0.0219780219780219
one-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,2,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8131868131868132,1.0,0.8351648351648352,0.8321759259259259,0.8361804035003665,0.02197802197802201
one-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,3,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8058608058608059,1.0,0.8241758241758241,0.8224022633744855,0.8284522796717919,0.01831501831501825
one-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,4,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7765567765567766,1.0,0.8058608058608059,0.8050411522633745,0.8043108937029273,0.02930402930402931
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,0,380,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8131868131868132,1.0,0.8168498168498168,0.8154578189300411,0.8222549488434948,0.00366300366300365
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,1,170,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7875457875457875,1.0,0.8021978021978022,0.8015689300411522,0.8080303046010889,0.014652014652014711
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,2,20,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7106227106227107,0.9666666666666667,0.7765567765567766,0.7791923868312757,0.7842084740183809,0.06593406593406592
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,3,340,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8388278388278388,1.0,0.8461538461538461,0.8438786008230452,0.8488418431999426,0.0073260073260073
