[235/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DEEP-CORAL-UDA', 4)
[236/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-SEMI', 0)
[237/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-SEMI', 1)
[238/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-SEMI', 2)
[239/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-SEMI', 3)
[240/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-SEMI', 4)
[241/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-UDA', 0)
[242/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-UDA', 1)
[243/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-UDA', 2)
[244/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-UDA', 3)
[245/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DEEP-CORAL-UDA', 4)
[246/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-SEMI', 0)
[247/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-SEMI', 1)
[248/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-SEMI', 2)
[249/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-SEMI', 3)
[250/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-SEMI', 4)
[251/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-UDA', 0)
[252/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-UDA', 1)
[253/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-UDA', 2)
[254/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-UDA', 3)
[255/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DEEP-CORAL-UDA', 4)
[256/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-SEMI', 0)
[257/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-SEMI', 1)
