architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8975609756097561,1.0,0.8975609756097561,0.89485058499143,0.8989749528220964,0.0
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,0,30,0.2,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9317073170731708,1.0,0.9317073170731708,0.9289067739771966,0.9309203883660028,0.0
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,1,400,0.2,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.975609756097561,1.0,0.9707317073170731,0.9700424770847306,0.9705304291345519,-0.004878048780487809
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,230,0.2,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.946341463414634,1.0,0.9463414634146341,0.9441836202399583,0.9459198204350426,1.1102230246251565e-16
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,380,0.2,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9560975609756096,1.0,0.9560975609756097,0.955361800432223,0.9561497802417263,1.1102230246251565e-16
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,340,0.2,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9658536585365852,1.0,0.9658536585365853,0.9647514717937252,0.9654971134380537,1.1102230246251565e-16
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8780487804878049,1.0,0.8682926829268293,0.8660854012966688,0.8705168369642053,-0.009756097560975618
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8926829268292683,1.0,0.8829268292682927,0.8807660779491765,0.8845481759955444,-0.009756097560975618
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.902439024390244,1.0,0.9024390243902439,0.8995454206721812,0.9025210084033614,-1.1102230246251565e-16
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8878048780487805,1.0,0.8975609756097561,0.8936582457709218,0.8962139828899996,0.009756097560975618
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8975609756097561,1.0,0.8975609756097561,0.89485058499143,0.8989749528220964,0.0
two-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,0,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6959706959706959,1.0,0.717948717948718,0.7229938271604938,0.7314869698518139,0.02197802197802201
two-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,1,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7032967032967034,1.0,0.7032967032967034,0.7091049382716049,0.709738900123481,0.0
two-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,2,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8388278388278388,1.0,0.8498168498168498,0.8492798353909464,0.8546359292012279,0.01098901098901095
two-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,3,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8131868131868132,1.0,0.8095238095238095,0.8085133744855968,0.8146241926729733,-0.00366300366300365
