architecture,split,variant,probe_variant,mode,seed,best_epoch,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7853658536585366,1.0,0.7951219512195122,0.7956628660854013,0.796340023612751,0.009756097560975618
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7951219512195122,1.0,0.8146341463414634,0.8138460391981518,0.8161161835963407,0.019512195121951126
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8097560975609757,1.0,0.8292682926829268,0.8285267158506594,0.8305265195509097,0.019512195121951126
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7951219512195122,1.0,0.8048780487804879,0.8044563678366495,0.8091833971282516,0.009756097560975618
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8048780487804879,1.0,0.824390243902439,0.8238318801699083,0.8259885758437043,0.019512195121951126
two-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7582417582417582,1.0,0.7509157509157509,0.7529578189300411,0.7567346992330756,-0.0073260073260073
two-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7875457875457875,1.0,0.7875457875457875,0.7889660493827161,0.7869806057653133,0.0
two-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7948717948717948,1.0,0.8021978021978022,0.8028549382716049,0.8043408443408443,0.007326007326007411
two-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7912087912087912,1.0,0.7802197802197802,0.782664609053498,0.7835968174951226,-0.01098901098901095
two-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7655677655677655,1.0,0.7692307692307693,0.7722479423868313,0.7755539871389842,0.003663003663003761
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.684981684981685,0.9333333333333333,0.6886446886446886,0.6977880658436214,0.7017513257712876,0.00366300366300365
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.717948717948718,1.0,0.7728937728937729,0.7770061728395062,0.7816431587653998,0.05494505494505497
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6959706959706959,0.9,0.7142857142857143,0.7265946502057613,0.7293930425228984,0.01831501831501836
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6593406593406593,0.9666666666666667,0.6959706959706959,0.7053755144032922,0.7141107845756524,0.03663003663003661
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,150,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7435897435897436,1.0,0.7619047619047619,0.7646604938271605,0.7693770540231158,0.01831501831501825
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7252747252747253,1.0,0.7326007326007326,0.7381687242798355,0.7433441424421675,0.0073260073260073
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7252747252747253,1.0,0.7728937728937729,0.7763631687242798,0.7813001813001813,0.04761904761904767
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,10,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.684981684981685,0.9,0.7142857142857143,0.725951646090535,0.7296887109274088,0.02930402930402931
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6776556776556777,1.0,0.7032967032967034,0.7103909465020576,0.7190241693552952,0.02564102564102566
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,20,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7106227106227107,1.0,0.717948717948718,0.7242798353909464,0.7289041686123499,0.0073260073260073
two-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,0,380,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8530612244897959,1.0,0.8571428571428571,0.8608898800042476,0.8565412851427446,0.004081632653061162
two-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,1,110,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8612244897959184,1.0,0.8775510204081632,0.8802697249654878,0.8774442765616032,0.01632653061224487
two-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,2,220,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8448979591836735,0.8471912498672612,0.844723525610341,-0.024489795918367308
two-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,3,100,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8326530612244898,1.0,0.8489795918367347,0.8517574599129234,0.8492452815855543,0.01632653061224487
two-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,4,310,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8938775510204081,1.0,0.889795918367347,0.8925878729956462,0.8916375807439384,-0.004081632653061162
two-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7510204081632653,1.0,0.7428571428571429,0.7454603376871615,0.7466525258740653,-0.008163265306122436
two-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7795918367346939,1.0,0.7795918367346939,0.7817245407242223,0.7769891939916115,0.0
two-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7836734693877551,1.0,0.7918367346938775,0.7926622066475524,0.7930883032824779,0.008163265306122436
two-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7877551020408163,1.0,0.7755102040816326,0.7778485717319742,0.7775085482043314,-0.01224489795918371
two-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7551020408163265,1.0,0.763265306122449,0.7655304237018159,0.7679914687666626,0.008163265306122547
