feature_set,split,method,representation,classifier_strategy,seed_count,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
54D,S3_train_I_internal_20_10_test_all,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8014652014652015,0.7619047619047619,0.8278388278388278,0.02684259481400917,0.8026748971193415,0.7640174897119342,0.8297325102880658,0.02668313682437201,0.8039629389247935,0.7651993911719939,0.8318984055902039,0.027550830109048057
54D,S4_train_I_val_D1_2,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8995918367346938,0.8448979591836735,0.9428571428571428,0.03780746506745929,0.8998194754167994,0.8478814909206754,0.9415949877880428,0.03647336579669607,0.9025644379916289,0.849109988240423,0.9442877098455936,0.03687310433289166
54D,S4_train_I_val_D1_2,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8963265306122448,0.8857142857142857,0.9224489795918368,0.014885373492906542,0.8971328448550494,0.888021662949984,0.9222151428268028,0.014260783800392874,0.8991539347455267,0.8900588636616052,0.9243057636599742,0.014187645591788183
54D,S4_train_I_val_D1_2,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9085714285714286,0.889795918367347,0.9387755102040816,0.021130088335583316,0.9090368482531591,0.8905171498354041,0.939099500902623,0.020582469414015453,0.9116010414769773,0.8933216880585301,0.9404877819788462,0.019972428239943104
54D,S4_train_I_val_D1_2,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8759183673469388,0.8040816326530612,0.9306122448979592,0.04782656435732909,0.8774769034724436,0.8098120420516088,0.9285865987044706,0.0448062596113251,0.8788167178155322,0.8062591842408356,0.9320816260154974,0.047727260236285624
54D,S4_train_I_val_D1_2,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9142857142857144,0.889795918367347,0.9224489795918368,0.01413919026586841,0.914877349474355,0.891897631942232,0.9235956249336308,0.013341042717706511,0.9171935735824583,0.8934521918478288,0.9256540875816276,0.013654332095171084
54D,S4_train_I_val_D1_2,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9053061224489797,0.889795918367347,0.9224489795918368,0.01238020480661481,0.9049697355845812,0.8912073908888182,0.9229053838802166,0.012135734996743069,0.9077184331934834,0.8911779966415727,0.9255033021876992,0.012958684911338742
54D,S4_train_I_val_D1_2,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8881632653061224,0.8612244897959184,0.9061224489795918,0.017460611947924427,0.8906233407666985,0.8675268132101518,0.9067112668578104,0.015249956858746711,0.8917751347123339,0.8641314094725686,0.9091636739395582,0.017595966238174304
54D,S5_train_I_D1_val_D2_3,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9134199134199135,0.8961038961038961,0.935064935064935,0.01590577755054011,0.9136876006441224,0.8969404186795491,0.9346931472535336,0.015456182699935244,0.9163736139153255,0.9001710654936462,0.9372522214627476,0.015107465432122708
54D,S5_train_I_D1_val_D2_3,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9116883116883117,0.8961038961038961,0.9264069264069263,0.015182405122727423,0.9117552334943639,0.8962247271426015,0.9264626945786366,0.014794120506130022,0.9142565260206638,0.8985777633571274,0.9284454133825256,0.01474681914419335
54D,S5_train_I_D1_val_D2_3,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9021645021645022,0.8744588744588745,0.9177489177489178,0.01774363768997332,0.9021291823224191,0.8763642869923064,0.9168008588298444,0.01658876648631134,0.9051419058347416,0.8793285779101382,0.9205308366018584,0.016780869000838743
54D,S5_train_I_D1_val_D2_3,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.909090909090909,0.8874458874458875,0.922077922077922,0.01468036792884255,0.9092860976918947,0.8865628913938092,0.9209160851672928,0.014844670040114371,0.9122844439800735,0.8904368014617043,0.9245152883846548,0.014488176678147826
54D,S5_train_I_D1_val_D2_3,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9972222222222221,0.9861111111111112,1.0,0.006211299937499394,0.9255411255411256,0.9177489177489178,0.9393939393939394,0.00887181884498668,0.9256396493111471,0.9182322419037394,0.9380926820540348,0.008001274543946002,0.9281828784247651,0.9209853730371126,0.941017316017316,0.008195742393207943
54D,S5_train_I_D1_val_D2_3,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9972222222222221,0.9861111111111112,1.0,0.006211299937499394,0.9316017316017315,0.9134199134199136,0.9437229437229436,0.011205349874930458,0.9308284129540167,0.9126856324923956,0.9429235999284308,0.011271147647069053,0.9334280582246673,0.916453686384428,0.9449291301389904,0.010548243390802351
54D,S5_train_I_D1_val_D2_3,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.909090909090909,0.8917748917748918,0.9264069264069263,0.01368951368038257,0.9107174807657898,0.8942565754159957,0.9264626945786366,0.01279517565130159,0.9126606171395769,0.896053657247687,0.9291446493328293,0.013119650959506329
54D,S6_train_I_D1_2_val_D3_5,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9590243902439024,0.9414634146341464,0.9853658536585366,0.01639779152582594,0.9579402339965719,0.9406811237797154,0.9853193233474924,0.01686605934391314,0.9594917877860949,0.9428784756728038,0.9856748768472906,0.01613904169071944
54D,S6_train_I_D1_2_val_D3_5,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9541463414634146,0.9365853658536586,0.9658536585365852,0.014053522235012538,0.9537223340040242,0.934793948878456,0.9665399806244878,0.014427793412789401,0.9548594627993564,0.9370978694508106,0.96648959884254,0.013902008960194093
54D,S6_train_I_D1_2_val_D3_5,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9492682926829268,0.926829268292683,0.9658536585365852,0.014470631194332936,0.9495044340114763,0.9265966167374616,0.9659438110142337,0.014557559787827386,0.9499630128376838,0.9273032122916826,0.966321036364832,0.014587360312377048
