architecture,split,variant,method,mode,seed,selected_C,selection_status,best_epoch,final_training,label_usage,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S4_train_I_val_D1_2,MLP Source-only,source-only,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7959183673469388,1.0,0.8081632653061225,0.8081660826165447,0.8130208744636604,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MLP Source-only,source-only,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8,1.0,0.8204081632653061,0.8204842306467027,0.8231310998383837,0.020408163265306034
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,0,0.1,validation-selected C,200,Source+Target refit,source + labeled target,0.8734693877551021,1.0,0.8693877551020408,0.8725177869809918,0.8716824123265573,-0.004081632653061273
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,1,0.1,validation-selected C,180,Source+Target refit,source + labeled target,0.8734693877551021,1.0,0.8693877551020408,0.8725177869809918,0.8705747126436781,-0.004081632653061273
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,2,0.1,validation-selected C,60,Source+Target refit,source + labeled target,0.8693877551020408,1.0,0.8816326530612245,0.8841456939577359,0.8825985030362943,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,3,0.1,validation-selected C,130,Source+Target refit,source + labeled target,0.8448979591836735,1.0,0.8734693877551021,0.8763937559732399,0.8739538751654429,0.02857142857142858
one-layer,S4_train_I_val_D1_2,MLP Source+Target,source-only,semi,4,0.1,validation-selected C,90,Source+Target refit,source + labeled target,0.8693877551020408,1.0,0.8693877551020408,0.8725177869809918,0.8709478078936207,0.0
one-layer,S4_train_I_val_D1_2,DANN-UDA,dann,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8122448979591836,1.0,0.8244897959183674,0.8236699585855368,0.8286475541896916,0.01224489795918371
one-layer,S4_train_I_val_D1_2,DANN-UDA,dann,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7673469387755102,1.0,0.7918367346938775,0.7926622066475524,0.797732370993537,0.024489795918367308
one-layer,S4_train_I_val_D1_2,DANN-UDA,dann,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7959183673469388,1.0,0.8653061224489796,0.8624296485080175,0.8657730273459023,0.06938775510204087
one-layer,S4_train_I_val_D1_2,DANN-UDA,dann,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8448979591836735,1.0,0.8367346938775511,0.835297865562281,0.841468660974865,-0.008163265306122436
one-layer,S4_train_I_val_D1_2,DANN-UDA,dann,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8244897959183674,1.0,0.8204081632653061,0.8191037485398747,0.8221811788178384,-0.004081632653061273
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,0,10.0,validation-selected C,380,Source+Target refit,source + labeled target,0.8693877551020408,1.0,0.8775510204081632,0.8802697249654878,0.8785454630902446,0.008163265306122436
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,1,10.0,validation-selected C,340,Source+Target refit,source + labeled target,0.8612244897959184,1.0,0.8734693877551021,0.8757035149198259,0.8736122128892352,0.01224489795918371
