sample_id,nominal_duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
acetone_o7,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_8,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_o8,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_9,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_o9,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_10,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_o10,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_11,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_o11,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_12,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_o12,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_13,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_14,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_15,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_16,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_17,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
acetone_18,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
acetone_19,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.201,237,237,237,711
acetone_20,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,180.172,237,237,237,711
acetone_21,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
acetone_22,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_23,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_24,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.932,237,237,237,711
acetone_25,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_26,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.199,237,237,237,711
acetone_27,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_28,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_29,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_30,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_31,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
acetone_32,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
acetone_33,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_34,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,169.26,169.26,237,237,195,669
acetone_35,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_36,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_37,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
