feature_set,split,model,group,accuracy,balanced_accuracy,macro_f1
54D,S6,DANN,domain adaptation,0.9580487804878048,0.9572397347045234,0.9581022855367752
54D,S6,Deep CORAL,domain adaptation,0.955121951219512,0.954899768984276,0.9557901342000216
54D,S6,MK-MMD,domain adaptation,0.9551219512195122,0.9546613011401744,0.955630629002166
54D,S6,CDAN,domain adaptation,0.953170731707317,0.9530218347119755,0.9536679207565522
54D,S7,LR,classical ML,0.9707317073170731,0.9712348163052388,0.971348528823216
54D,S7,sklearn MLP,classical ML,0.9453658536585364,0.9436023548699606,0.9451734546275314
54D,S7,No-DA NN,neural baseline,0.9560975609756096,0.9563156718086298,0.956937717240973
54D,S7,DANN,domain adaptation,0.9541463414634148,0.9532453983158208,0.954495676189091
54D,S7,Deep CORAL,domain adaptation,0.9668292682926828,0.9667635442283328,0.967113091321292
54D,S7,MK-MMD,domain adaptation,0.9570731707317072,0.9567777032565764,0.9573581401123044
54D,S7,CDAN,domain adaptation,0.9482926829268292,0.9478500633430212,0.9487844505902118
48D,S1,LR,classical ML,0.706959706959707,0.7067901234567903,0.7149530651174386
48D,S1,sklearn MLP,classical ML,0.6981684981684981,0.6957561728395061,0.7003642180023112
48D,S1,No-DA NN,neural baseline,0.6586080586080587,0.6556841563786009,0.6564080166348315
48D,S1,DANN,domain adaptation,0.7699633699633699,0.7627829218106996,0.7642233655422022
48D,S1,Deep CORAL,domain adaptation,0.701098901098901,0.6966049382716049,0.7008760151310434
48D,S1,MK-MMD,domain adaptation,0.7304029304029304,0.7193672839506172,0.7196751331985738
48D,S1,CDAN,domain adaptation,0.7106227106227105,0.7006172839506174,0.7043098496078157
48D,S2,LR,classical ML,0.608058608058608,0.6078960905349794,0.6105555010839843
48D,S2,sklearn MLP,classical ML,0.6981684981684981,0.6957561728395061,0.7003642180023112
48D,S2,No-DA NN,neural baseline,0.6432234432234432,0.6426440329218107,0.6324594535520214
48D,S2,DANN,domain adaptation,0.6989010989010989,0.6898919753086419,0.6900768127607703
48D,S2,Deep CORAL,domain adaptation,0.6871794871794872,0.6822530864197531,0.681674360914519
48D,S2,MK-MMD,domain adaptation,0.6857142857142857,0.68369341563786,0.678493616020999
48D,S2,CDAN,domain adaptation,0.7098901098901098,0.7032664609053498,0.7064233510890683
48D,S3,LR,classical ML,0.608058608058608,0.6078960905349794,0.6105555010839843
48D,S3,sklearn MLP,classical ML,0.6981684981684981,0.6957561728395061,0.7003642180023112
48D,S3,No-DA NN,neural baseline,0.608058608058608,0.6057098765432098,0.6070537312898495
48D,S3,DANN,domain adaptation,0.6695970695970697,0.6626286008230452,0.6564546586539282
48D,S3,Deep CORAL,domain adaptation,0.723076923076923,0.7155092592592591,0.7155327847664942
48D,S3,MK-MMD,domain adaptation,0.712087912087912,0.7044495884773662,0.7011535414485193
48D,S3,CDAN,domain adaptation,0.7047619047619047,0.7025205761316873,0.7076109064034826
48D,S4,LR,classical ML,0.8775510204081632,0.8775087607518318,0.8820899597297114
48D,S4,sklearn MLP,classical ML,0.8334693877551022,0.8327492832112137,0.8368390650712214
48D,S4,No-DA NN,neural baseline,0.7844897959183674,0.7888605713072103,0.7752515979885318
