experiment,split,seed,parameter,parameter_value,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,alpha,beta,C,l1_ratio
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.25,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.5,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.75,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.25,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.5,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.75,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.25,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.5,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.75,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,1.0,,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,0,,,40.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,0.5,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,1,,,20.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,0.5,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,2,,,20.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,0.5,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,3,,,30.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,0.5,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,4,,,20.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,0.5,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,0,,,30.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,1.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,1,,,10.0,0.9166666666666666,0.9333333333333332,0.9326599326599326,,1.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,2,,,20.0,0.8333333333333334,0.8666666666666667,0.8296296296296296,,1.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,3,,,30.0,0.8333333333333334,0.8666666666666667,0.8296296296296296,,1.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,4,,,20.0,1.0,1.0,1.0,,1.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,0,,,20.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,2.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,1,,,20.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,2.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,2,,,20.0,0.9166666666666666,0.9333333333333332,0.8962962962962964,,2.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,3,,,20.0,0.8333333333333334,0.8666666666666667,0.8296296296296296,,2.0,,
target-weighted,SI1_train_I_D1_val_D2_test_D3plus,4,,,20.0,1.0,1.0,1.0,,2.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,0,,,40.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,0.5,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,1,,,320.0,0.9615384615384616,0.9666666666666668,0.9568151147098516,,0.5,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,2,,,250.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,0.5,,
