feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,mk-mmd,0.9229268292682928,0.013968605915391612,0.9217676428944035,0.9238436371061468,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,source-only,0.9287804878048782,0.01565542101061583,0.9284745510097622,0.9299000361128209,5,False,False
54D,S1_train_I_test_all,uda,End-to-end LR,c-dann,0.8937728937728938,0.03086501748416252,0.8878600823045268,0.8925486874857684,5,False,False
54D,S1_train_I_test_all,uda,End-to-end LR,cdan,0.8893772893772894,0.03361192599840133,0.8867798353909466,0.8906566079819396,5,False,False
54D,S1_train_I_test_all,uda,End-to-end LR,cdan+c-dann,0.8849816849816851,0.028562034710062873,0.8805555555555555,0.8853671265977006,5,False,False
54D,S1_train_I_test_all,uda,End-to-end LR,dann,0.8864468864468865,0.013705704713457653,0.8831018518518519,0.8872973903372395,5,False,False
54D,S1_train_I_test_all,uda,End-to-end LR,deep-coral,0.9076923076923077,0.018019595423075293,0.904269547325103,0.9084712966957355,5,True,True
54D,S1_train_I_test_all,uda,End-to-end LR,mk-mmd,0.8981684981684982,0.020129863244006,0.8944701646090534,0.8977296896996168,5,False,False
54D,S1_train_I_test_all,uda,End-to-end LR,source-only,0.7516483516483516,0.022490961806606216,0.756224279835391,0.7421836063969431,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,c-dann,0.841025641025641,0.02382360811942726,0.8408179012345679,0.8447211305294455,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,cdan,0.8534798534798534,0.042796049251091296,0.8508230452674898,0.8555402966963728,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,cdan+c-dann,0.8307692307692308,0.06980881611470537,0.8309670781893004,0.8302135184126916,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,dann,0.8454212454212454,0.028655834748143514,0.8424125514403291,0.8470574056487804,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,deep-coral,0.8637362637362637,0.03739135576608017,0.8629886831275719,0.866413007474702,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,mk-mmd,0.8725274725274724,0.03639116251141327,0.8678497942386831,0.8722818354469665,5,False,False
54D,S1_train_I_test_all,uda,MLP Head,source-only,0.7208791208791209,0.055757124701788605,0.7265432098765432,0.7035998247682426,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,c-dann,0.8021978021978022,0.03579637414961917,0.801954732510288,0.8065163541093747,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,cdan,0.8373626373626374,0.051516991917213685,0.8358024691358026,0.8405226647474187,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,cdan+c-dann,0.8014652014652015,0.09633769272300845,0.8007458847736626,0.7970220309134853,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,dann,0.8300366300366301,0.028562034710062936,0.8277006172839506,0.8329187006048832,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,deep-coral,0.8124542124542125,0.023511804448177624,0.8127057613168723,0.8163593893884918,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,mk-mmd,0.8652014652014651,0.027824364856898074,0.8629629629629629,0.8677437638086971,5,False,False
54D,S1_train_I_test_all,uda,Post-hoc LR,source-only,0.7333333333333334,0.04792799189390809,0.7382201646090535,0.7205455183338604,5,False,False
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,c-dann,0.8725274725274726,0.03133955990653104,0.8695216049382717,0.8743101215758259,5,False,False
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,cdan,0.8864468864468865,0.014652014652014636,0.8822016460905349,0.8864064897110083,5,False,False
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,cdan+c-dann,0.887912087912088,0.01456015158560569,0.8859053497942387,0.8899551740171487,5,False,False
