feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,cdan,0.9209756097560975,0.024487610532704644,0.9202474103882554,0.9217688001394118,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,cdan+c-dann,0.9199999999999999,0.011747897150041304,0.9195469110962069,0.9209539848662462,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,dann,0.9326829268292682,0.011123662683893962,0.9322304195543631,0.9337414411819209,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,deep-coral,0.9336585365853658,0.01317976203522562,0.9332886206125643,0.9351259357775629,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,mk-mmd,0.9307317073170731,0.013089178404876733,0.9296370817497579,0.9314313985990058,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,source-only,0.9141463414634146,0.025016353960893772,0.9145092778895595,0.9155758807147809,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,c-dann,0.9404878048780487,0.03351329568257107,0.9398613905656159,0.940611621955496,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,cdan,0.9502439024390243,0.021094388595550833,0.949370295849169,0.9504949717100842,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,cdan+c-dann,0.9317073170731707,0.016542268251525015,0.9306952828079588,0.9319430170435112,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,dann,0.9590243902439024,0.0043630594682923145,0.9590133392950294,0.959179938874702,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,deep-coral,0.937560975609756,0.016685494025841026,0.9370444891571653,0.9384310805939066,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,mk-mmd,0.9414634146341463,0.00912599362627779,0.9404426559356137,0.9419469847352872,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,source-only,0.9258536585365853,0.018381896274552906,0.9251807139131083,0.9261210304933207,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,c-dann,0.9639024390243902,0.013623648823189205,0.9639466428198823,0.9644393851318392,5,True,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,cdan,0.944390243902439,0.025016353960893717,0.942782621655861,0.9445125965009314,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,cdan+c-dann,0.940487804878049,0.02052261850532938,0.9398613905656159,0.9408698058540848,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,dann,0.96,0.01838189627455295,0.959713838587078,0.9602903835267549,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,deep-coral,0.9541463414634146,0.017789836613473595,0.9541992696922275,0.9548342701875809,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,mk-mmd,0.9395121951219512,0.014876049445831048,0.939399359117669,0.94000172625805,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,source-only,0.918048780487805,0.014388176784148913,0.9176689768239064,0.9189905226324637,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,c-dann,0.9492682926829268,0.0055618313419469965,0.9487890304791712,0.9503222221051555,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,cdan,0.937560975609756,0.011646181840305657,0.9360906177807587,0.9383759363725017,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,cdan+c-dann,0.9307317073170733,0.013089178404876837,0.9299947835159103,0.9315586083765115,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,dann,0.9395121951219512,0.004363059468292195,0.9386839555853641,0.940569649115049,5,False,False
48D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,deep-coral,0.9375609756097563,0.010575357750575035,0.9378791266115212,0.9390985955262916,5,False,False
