family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,source-only,opensource-core,bottleneck16,linear,3,source-only:bottleneck16:linear,54,400.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\source-only\seed_3.pt,"[[63, 6, 0], [0, 81, 0], [0, 13, 68]]",1.0,1.0,1.0,0.9177489177489178,0.9175165503667918,0.9207749189023988
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,source-only,opensource-core,bottleneck16,linear,4,source-only:bottleneck16:linear,54,400.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\source-only\seed_4.pt,"[[64, 5, 0], [0, 81, 0], [0, 15, 66]]",1.0,1.0,1.0,0.9134199134199136,0.914117015566291,0.9168250296069844
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,dann,opensource-core,bottleneck16,linear,0,dann:bottleneck16:linear,54,30.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\dann\seed_0.pt,"[[65, 4, 0], [0, 80, 1], [0, 12, 69]]",1.0,1.0,1.0,0.9264069264069263,0.927178386115584,0.9293371135864806
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,dann,opensource-core,bottleneck16,linear,1,dann:bottleneck16:linear,54,330.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\dann\seed_1.pt,"[[58, 5, 6], [0, 80, 1], [0, 3, 78]]",0.9583333333333334,0.9506172839506172,0.9565589890375216,0.935064935064935,0.9303989980318482,0.9332968083488032
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,dann,opensource-core,bottleneck16,linear,2,dann:bottleneck16:linear,54,30.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\dann\seed_2.pt,"[[65, 4, 0], [0, 80, 1], [0, 9, 72]]",1.0,1.0,1.0,0.9393939393939394,0.93952406512793,0.941584806227112
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,dann,opensource-core,bottleneck16,linear,3,dann:bottleneck16:linear,54,90.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\dann\seed_3.pt,"[[60, 9, 0], [0, 81, 0], [0, 11, 70]]",1.0,1.0,1.0,0.9134199134199136,0.9112542494185004,0.9158315887100732
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,dann,opensource-core,bottleneck16,linear,4,dann:bottleneck16:linear,54,60.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\dann\seed_4.pt,"[[62, 7, 0], [1, 79, 1], [1, 6, 74]]",1.0,1.0,1.0,0.9307359307359307,0.92914653784219,0.931447857824493
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,semi,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,110.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S6_train_I_D1_2_val_D3_5\bottleneck16\linear\source-only\seed_0.pt,"[[60, 3, 0], [0, 71, 0], [0, 4, 67]]",1.0,1.0,1.0,0.9658536585365852,0.9653476414039792,0.966548127693124
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,semi,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,80.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S6_train_I_D1_2_val_D3_5\bottleneck16\linear\source-only\seed_1.pt,"[[62, 1, 0], [0, 71, 0], [0, 5, 66]]",1.0,1.0,1.0,0.9707317073170731,0.9712348163052388,0.9716543696981652
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,semi,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,60.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S6_train_I_D1_2_val_D3_5\bottleneck16\linear\source-only\seed_2.pt,"[[59, 4, 0], [0, 71, 0], [0, 6, 65]]",1.0,1.0,1.0,0.951219512195122,0.9506669647514716,0.9524353313370214
