family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.8783673469387756,0.8693877551020408,0.8938775510204081,0.010163183345296912,0.8817351598173515,0.8732080280344059,0.8957736009344801,0.008936347015044015,0.8813556499783427,0.8710899798947501,0.8982103479689748,0.011015372383683743
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.8914285714285715,0.8163265306122449,0.9428571428571428,0.048689617823499266,0.8928958266964001,0.8221301900817669,0.9409047467346288,0.04558367716967684,0.8931788361899367,0.8191966614501826,0.9427501322649589,0.04801328652401219
domain-adaptation,54D,S4_train_I_val_D1_2,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9159183673469389,0.889795918367347,0.9346938775510204,0.01697684436170238,0.9165657852819369,0.891897631942232,0.9338430498035468,0.01581351979101754,0.9185426651874746,0.8934521918478288,0.9355331351843832,0.01596792199777549
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9110204081632652,0.8857142857142857,0.9346938775510204,0.01944674163195365,0.9101199957523628,0.8859509397897419,0.9345332908569608,0.019672153052773228,0.9131132579345718,0.8878344383116411,0.9370109463797224,0.019489864142026612
domain-adaptation,54D,S4_train_I_val_D1_2,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.899591836734694,0.8571428571428571,0.926530612244898,0.02558763758148162,0.9003716682595307,0.8615801210576617,0.9254008707656366,0.02343981702994138,0.9022434965417281,0.8610118840280295,0.9288036481140112,0.02496271477288492
classical-ml,54D,S5_train_I_D1_val_D2_3,logistic-regression,classical-ml,raw,logistic-regression,-1,1.0,1.0,1.0,,0.9307359307359307,0.9307359307359307,0.9307359307359307,,0.9320093039899804,0.9320093039899804,0.9320093039899804,,0.9332263814616756,0.9332263814616756,0.9332263814616756,
classical-ml,54D,S5_train_I_D1_val_D2_3,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8796536796536797,0.8658008658008658,0.8874458874458875,0.008871818844986685,0.8821613884415817,0.8688495258543568,0.8908570406154946,0.008794200822423524,0.8799244348938993,0.8659391924399591,0.8873456764165474,0.008661835218516593
domain-adaptation,54D,S5_train_I_D1_val_D2_3,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9972222222222221,0.9861111111111112,1.0,0.006211299937499394,0.922077922077922,0.9134199134199136,0.935064935064935,0.010152415064552806,0.9227768831633565,0.914117015566291,0.9354088387904812,0.010131365141097706,0.924842123547783,0.9155502164424836,0.937513181060152,0.01004354008602813
domain-adaptation,54D,S5_train_I_D1_val_D2_3,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9916666666666668,0.9583333333333334,1.0,0.01863389981249823,0.9290043290043289,0.9134199134199136,0.9393939393939394,0.009966116392399381,0.9275004473072105,0.9112542494185004,0.93952406512793,0.010243549984034461,0.9302996349393924,0.9158315887100732,0.941584806227112,0.009326137521525845
domain-adaptation,54D,S5_train_I_D1_val_D2_3,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9916666666666668,0.9583333333333334,1.0,0.01863389981249823,0.9376623376623376,0.922077922077922,0.9567099567099568,0.014226559935199164,0.9378779745929504,0.9230631597781356,0.9552692789407766,0.012997734671220871,0.9395417484478095,0.9245281439631722,0.957378648248442,0.01341319561851758
