family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,mlp,3,source-only:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\source-only\seed_3.pt,"[[66, 15, 0], [2, 93, 1], [7, 40, 49]]",1.0,1.0,1.0,0.7619047619047619,0.7646604938271605,0.7598939349444627
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,mlp,4,source-only:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\source-only\seed_4.pt,"[[73, 8, 0], [1, 94, 1], [0, 51, 45]]",1.0,1.0,1.0,0.7765567765567766,0.7830504115226337,0.7769194603645538
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,mlp,0,dann:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\dann\seed_0.pt,"[[64, 13, 4], [3, 91, 2], [5, 6, 85]]",1.0,1.0,1.0,0.8791208791208791,0.8744855967078188,0.8763957873038399
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,mlp,1,dann:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\dann\seed_1.pt,"[[58, 22, 1], [0, 95, 1], [1, 22, 73]]",1.0,1.0,1.0,0.8278388278388278,0.8220164609053499,0.8302944121533148
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,mlp,2,dann:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\dann\seed_2.pt,"[[66, 15, 0], [0, 95, 1], [3, 26, 67]]",1.0,1.0,1.0,0.8351648351648352,0.8341049382716049,0.8386795626576955
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,mlp,3,dann:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\dann\seed_3.pt,"[[68, 12, 1], [3, 90, 3], [1, 15, 80]]",1.0,1.0,1.0,0.8717948717948718,0.8701131687242798,0.8742827334376629
domain-adaptation,54D,S1_train_I_test_all,uda,dann,opensource-core,bottleneck16,mlp,4,dann:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\dann\seed_4.pt,"[[63, 13, 5], [1, 93, 2], [2, 28, 66]]",1.0,1.0,1.0,0.8131868131868132,0.8113425925925926,0.8156345326913889
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,mlp,0,deep-coral:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\deep-coral\seed_0.pt,"[[72, 8, 1], [0, 94, 2], [2, 13, 81]]",1.0,1.0,1.0,0.9047619047619048,0.9039351851851852,0.9066758395760076
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,mlp,1,deep-coral:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\deep-coral\seed_1.pt,"[[60, 21, 0], [4, 90, 2], [3, 19, 74]]",1.0,1.0,1.0,0.8205128205128205,0.816358024691358,0.8225787013603437
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,mlp,2,deep-coral:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\deep-coral\seed_2.pt,"[[71, 10, 0], [0, 94, 2], [2, 19, 75]]",1.0,1.0,1.0,0.8791208791208791,0.8789866255144032,0.8825258112612614
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,mlp,3,deep-coral:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\deep-coral\seed_3.pt,"[[75, 6, 0], [2, 90, 4], [4, 15, 77]]",1.0,1.0,1.0,0.8864468864468864,0.8885030864197532,0.8885158801641238
domain-adaptation,54D,S1_train_I_test_all,uda,deep-coral,opensource-core,bottleneck16,mlp,4,deep-coral:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\deep-coral\seed_4.pt,"[[66, 12, 3], [2, 92, 2], [1, 27, 68]]",1.0,1.0,1.0,0.8278388278388278,0.8271604938271605,0.8317688050117735
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,mlp,0,mk-mmd:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\mk-mmd\seed_0.pt,"[[66, 14, 1], [2, 92, 2], [1, 12, 83]]",1.0,1.0,1.0,0.8827838827838828,0.8792438271604938,0.8839669987333538
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,mlp,1,mk-mmd:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\mk-mmd\seed_1.pt,"[[65, 16, 0], [3, 92, 1], [3, 12, 81]]",1.0,1.0,1.0,0.8717948717948718,0.8681841563786009,0.8724091230990503
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,mlp,2,mk-mmd:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\mk-mmd\seed_2.pt,"[[65, 16, 0], [1, 93, 2], [1, 12, 83]]",1.0,1.0,1.0,0.8827838827838828,0.8786008230452675,0.8842161024481466
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,mlp,3,mk-mmd:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\mk-mmd\seed_3.pt,"[[48, 33, 0], [2, 87, 7], [0, 9, 87]]",1.0,1.0,1.0,0.8131868131868132,0.8016975308641975,0.80731574483282
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,mlp,4,mk-mmd:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\mk-mmd\seed_4.pt,"[[73, 7, 1], [3, 93, 0], [1, 12, 83]]",1.0,1.0,1.0,0.912087912087912,0.911522633744856,0.9135012081214612
