family,feature_set,split,method,method_family,representation,head,seed_count,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
classical-ml,48D,S3_train_I_internal_20_10_test_all,mlp,classical-ml,raw,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.6981684981684981,0.02081798130165979,0.6776556776556777,0.7289377289377289,0.6957561728395061,0.019704567093738457,0.6751543209876543,0.7263374485596708,0.7003642180023112,0.02156208830337339,0.6799729628997921,0.733559688426708
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9533333333333334,0.10434983894999016,0.7666666666666667,1.0,0.5912087912087911,0.05171196041488879,0.5311355311355311,0.663003663003663,0.5941100823045268,0.05399101516394184,0.5336934156378601,0.6683384773662552,0.5940458888505287,0.052420791560261165,0.5321244720599866,0.6641152302220189
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9933333333333334,0.014907119849998545,0.9666666666666668,1.0,0.6505494505494506,0.08148022103091153,0.5238095238095238,0.7289377289377289,0.6420010288065844,0.08510087925350054,0.5081018518518519,0.7199074074074074,0.6425939636361176,0.08819456417564128,0.5040121389166492,0.7225276641552295
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.6783882783882784,0.07579851275996996,0.5457875457875457,0.7289377289377289,0.6728909465020576,0.08026337856701111,0.5321502057613169,0.7256944444444443,0.6723005196446463,0.08332577588727016,0.5260017120431218,0.7258635578583764
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.7421245421245422,0.055648729713796134,0.6776556776556777,0.8241758241758241,0.7353652263374485,0.05709488410416999,0.6712962962962963,0.821116255144033,0.7410158251098338,0.055657976351625275,0.6776343375304168,0.8242554168327786
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9933333333333334,0.014907119849998545,0.9666666666666668,1.0,0.6923076923076923,0.06275399889747917,0.5934065934065934,0.7655677655677655,0.6849279835390947,0.06148430768645222,0.5895061728395062,0.757201646090535,0.6885551754992776,0.06186200270803477,0.5930642316184485,0.7619597430692471
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9866666666666667,0.02981423969999724,0.9333333333333332,1.0,0.608058608058608,0.10021512102787146,0.4798534798534798,0.7326007326007326,0.6057098765432098,0.10277221490144002,0.4696502057613169,0.737525720164609,0.6070537312898495,0.10463424975131651,0.4655243496392557,0.7370412296080722
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,dann,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9866666666666667,0.018257418583505474,0.9666666666666668,1.0,0.6695970695970697,0.052407841660012944,0.5970695970695971,0.7252747252747253,0.6626286008230452,0.058165158534177176,0.5743312757201646,0.7177211934156379,0.6564546586539282,0.06858254894181792,0.5520406672466103,0.719147059836715
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.723076923076923,0.05013098542746677,0.6703296703296703,0.7838827838827839,0.7155092592592591,0.05117459655520682,0.6656378600823046,0.7829218106995884,0.7155327847664942,0.051820775488453805,0.6653999363506009,0.7813540048643217
domain-adaptation,48D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9733333333333334,0.027888667551135875,0.9333333333333332,1.0,0.712087912087912,0.09232658682139584,0.5641025641025641,0.7985347985347986,0.7044495884773662,0.09297298762229927,0.5578703703703703,0.7852366255144032,0.7011535414485193,0.09680613286363232,0.549094541149676,0.789443613621641
