feature_set,split,method,model,classifier_strategy,model_path,balanced_accuracy,balanced_accuracy_std,accuracy,macro_f1
48D,S1,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7305812757201646,0.048038217334177,0.7435897435897436,0.7325806962352532
48D,S1,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.757664609053498,0.0554372925585089,0.7684981684981684,0.7599811491620646
48D,S2,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7094650205761316,0.0684078053315303,0.7157509157509158,0.71046373535624
48D,S2,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7337705761316873,0.0995889207591182,0.7413919413919414,0.7356572029946535
48D,S3,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7977880658436214,0.0604758684955476,0.8051282051282052,0.8005612464850141
48D,S3,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.708667695473251,0.1238323294744406,0.7172161172161172,0.7104146351911569
48D,S4,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8673569077200808,0.0376117837790937,0.8702040816326531,0.8707814803050905
48D,S4,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8896357651056599,0.0179494716811031,0.8906122448979591,0.8926232219925515
48D,S5,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9197351941313292,0.031998345712892,0.9194805194805196,0.9200318616826296
48D,S5,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8858114152800143,0.0226824542329934,0.884848484848485,0.8858072434125871
48D,S6,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9417393248379164,0.0336603860383636,0.942439024390244,0.94254885135246
48D,S6,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.928921678217453,0.0306955623290362,0.9307317073170732,0.9310668304502924
48D,S7,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9204709739921008,0.0411265354381957,0.921951219512195,0.921189097713911
48D,S7,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9381175944556226,0.0307984323527901,0.937560975609756,0.9382127380610916
54D,S1,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8584876543209876,0.0267828928825381,0.86007326007326,0.8612151332567388
54D,S1,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8652263374485596,0.0265916215709866,0.868131868131868,0.8690986531076177
54D,S2,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8698816872427985,0.0363973727546048,0.8739926739926739,0.8740685965204135
54D,S2,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8920524691358024,0.0248078954244054,0.8967032967032967,0.8960938027200541
54D,S3,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8800154320987655,0.0242025928985809,0.8827838827838829,0.8841728936853548
54D,S3,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.865380658436214,0.0214475176876521,0.8666666666666668,0.8699613256497642
54D,S4,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.922491239248168,0.0265714134587996,0.9224489795918368,0.9234353594202072
54D,S4,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9047467346288628,0.0308550903396082,0.9044897959183672,0.9065260950525292
54D,S5,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9173734120594024,0.01496302459782,0.917748917748918,0.919959924311109
54D,S5,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9233136518160674,0.0140796508321103,0.922943722943723,0.924606676816402
54D,S6,mk-mmd+c-dann,MK-MMD+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9433638870258588,0.0190177317239791,0.9453658536585364,0.94527052531159
