feature_set,split,model,classifier_strategy,plot_label,mean_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,std_balanced_accuracy,seeds,range_source
54D,S1,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.8611882716049383,0.813914609053498,0.8909465020576132,0.0309095228318226,"0,1,2,3,4",min-max over seeds
54D,S2,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.8902520576131687,0.8571244855967078,0.9351851851851852,0.0326763278531571,"0,1,2,3,4",min-max over seeds
54D,S3,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.8577417695473251,0.8006687242798353,0.9022633744855968,0.0400659574017933,"0,1,2,3,4",min-max over seeds
54D,S4,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.91554635234151,0.9046405436975684,0.9331528087501328,0.0117138753752289,"0,1,2,3,4",min-max over seeds
54D,S5,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.9157273215244228,0.895509035605654,0.9346931472535336,0.0181811536006224,"0,1,2,3,4",min-max over seeds
54D,S6,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.9452567255384156,0.91892093300544,0.9706386466949848,0.0182917749658732,"0,1,2,3,4",min-max over seeds
54D,S7,MK-MMD+CDAN + MLPLR,MLPLR,MK-MMD+CDAN MLPLR,0.9481928608689172,0.9306952828079588,0.97592965198599,0.0180186039081975,"0,1,2,3,4",min-max over seeds
54D,S1,No-DA NN,MLP head,No-DA NN,0.7265432098765432,0.6648662551440329,0.7830504115226337,0.0542331642566582,"0,1,2,3,4",min-max over seeds
54D,S2,No-DA NN,MLP head,No-DA NN,0.7422582304526748,0.6628086419753086,0.8549382716049383,0.080818194516926,"0,1,2,3,4",min-max over seeds
54D,S3,No-DA NN,MLP head,No-DA NN,0.7935956790123457,0.7700617283950617,0.8184156378600823,0.0184289960058362,"0,1,2,3,4",min-max over seeds
54D,S4,No-DA NN,MLP head,No-DA NN,0.8817351598173515,0.8732080280344059,0.8957736009344801,0.008936347015044,"0,1,2,3,4",min-max over seeds
54D,S5,No-DA NN,MLP head,No-DA NN,0.9125424941850064,0.900518876364287,0.9264626945786366,0.0105126901559161,"0,1,2,3,4",min-max over seeds
54D,S6,No-DA NN,MLP head,No-DA NN,0.9605484760414338,0.9412772933899696,0.97592965198599,0.0123866252603207,"0,1,2,3,4",min-max over seeds
54D,S7,No-DA NN,MLP head,No-DA NN,0.9563156718086298,0.9453759594604664,0.9659438110142337,0.0073126527460453,"0,1,2,3,4",min-max over seeds
54D,S1,sklearn MLP,raw MLP,sklearn MLP,0.761522633744856,0.7334104938271605,0.8019547325102879,0.0348187292433302,"0,1,2,3,4",min-max over seeds
54D,S2,sklearn MLP,raw MLP,sklearn MLP,0.761522633744856,0.7334104938271605,0.8019547325102879,0.0348187292433302,"0,1,2,3,4",min-max over seeds
54D,S3,sklearn MLP,raw MLP,sklearn MLP,0.761522633744856,0.7334104938271605,0.8019547325102879,0.0348187292433302,"0,1,2,3,4",min-max over seeds
54D,S4,sklearn MLP,raw MLP,sklearn MLP,0.8277795476266328,0.7981841350748646,0.8453860040352553,0.0194837426700462,"0,1,2,3,4",min-max over seeds
54D,S5,sklearn MLP,raw MLP,sklearn MLP,0.8821613884415817,0.8688495258543568,0.8908570406154946,0.0087942008224235,"0,1,2,3,4",min-max over seeds
54D,S6,sklearn MLP,raw MLP,sklearn MLP,0.9436023548699606,0.9242119382964454,0.9541694612117148,0.0115354390590546,"0,1,2,3,4",min-max over seeds
54D,S7,sklearn MLP,raw MLP,sklearn MLP,0.9436023548699606,0.9242119382964454,0.9541694612117148,0.0115354390590546,"0,1,2,3,4",min-max over seeds
