split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_26.csv,-0.7149881646735491,0.7843233158361551
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_27.csv,3.1150413163677166,-1.7705912145938707
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_28.csv,4.363822324409526,2.888657989428155
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_29.csv,2.0289799126373103,0.4760427484383229
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_30.csv,0.35334007906804604,-1.8336812330559056
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_31.csv,1.3047405985606533,-1.7395012869656252
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_32.csv,0.08669717318544572,0.8277389786796207
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 7,7,alcohol\alcohol_33.csv,1.865380356097884,-1.9404585144960085
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 7,7,alcohol\alcohol_34.csv,-0.28863506296189256,-0.5121861935789631
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 7,7,alcohol\alcohol_35.csv,3.3835024810294767,-0.7339862788600396
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 8,8,alcohol\alcohol_36.csv,-1.963344370901107,-1.517119596284355
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 8,8,alcohol\alcohol_37.csv,-1.6282569403473495,-1.5998133336400473
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 8,8,alcohol\alcohol_38.csv,-0.9704851561593937,-1.5895285687468355
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_39.csv,-2.0940395071856432,-1.2140257389984845
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_40.csv,-1.1015801694937721,-0.05873964506465826
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_41.csv,-2.3774728998479397,-1.473144371402899
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_42.csv,-0.6731398241702338,-1.800853990086071
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_43.csv,-1.2052053439742914,-1.888921184260893
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_44.csv,4.49525725988843,-2.6266503848482605
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_45.csv,-1.5432622068239004,0.1322813498112951
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_46.csv,0.2706532056803704,-1.9646839079367366
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_47.csv,0.10975193504115097,0.5059249504327248
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_48.csv,0.3770918723827817,-2.669249508283589
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_49.csv,3.0635082138374545,-2.578307768565961
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_50.csv,-1.0841817366850086,1.0772830215656626
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_51.csv,0.4391395752891041,-2.003503199653436
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 12,12,acetone\acetone_52.csv,-2.4496445320488784,1.6156202368955532
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 12,12,acetone\acetone_53.csv,1.0864153833737609,2.7482820191608304
