split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,coral_loss_last,total_loss_last,feature_extractor_objective,classifier_train_n,source_train_n,source_val_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0003852418449241668,0.0020740122999995947,0.0008000442758202553,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.95,0.7,0.7728937728937729,0.9583333333333334,0.6666666666666666,0.7795781893004116,0.9407407407407407,0.6518518518518519,0.7699207497249113,0.17710622710622703
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.0002448343439027667,0.004464257974177599,0.0011376859620213509,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.6886446886446886,0.9166666666666666,0.6666666666666666,0.695216049382716,0.888888888888889,0.6518518518518519,0.6960664217621679,0.21135531135531138
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.0001904709788504988,0.003725651651620865,0.0009356013033539057,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.85,0.7,0.6263736263736264,0.8333333333333334,0.6666666666666666,0.6368312757201645,0.8249999999999998,0.6518518518518519,0.6211690071446169,0.2236263736263736
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,4,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.0005565715255215764,0.005943228956311941,0.0017452173633500934,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.6410256410256411,0.9166666666666666,0.6666666666666666,0.6552211934156379,0.888888888888889,0.6518518518518519,0.6196407553646077,0.25897435897435894
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0005691647529602051,0.0019023180939257145,0.0015203237999230623,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.95,0.7,0.684981684981685,0.9583333333333334,0.6666666666666666,0.6949588477366255,0.9407407407407407,0.6518518518518519,0.6710060902856806,0.26501831501831496
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0004272650112397969,0.0010030819103121758,0.0009288059663958848,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.95,0.7,0.7728937728937729,0.9583333333333334,0.6666666666666666,0.7795781893004116,0.9407407407407407,0.6518518518518519,0.7700442036315086,0.17710622710622703
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.0003415966348256916,0.002055110177025199,0.0013691517524421215,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.6923076923076923,0.9166666666666666,0.6666666666666666,0.6986882716049383,0.888888888888889,0.6518518518518519,0.699052228271829,0.20769230769230773
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.00027533568209037185,0.0030146483331918716,0.0017826599068939686,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.85,0.7,0.6483516483516484,0.8333333333333334,0.6666666666666666,0.6563786008230452,0.8249999999999998,0.6518518518518519,0.6504311406750433,0.2016483516483516
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.5,4,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.000712662236765027,0.0031456376891583204,0.0022854809649288654,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.652014652014652,0.9166666666666666,0.6666666666666666,0.6662808641975309,0.888888888888889,0.6518518518518519,0.6292192729927248,0.247985347985348
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,MLP source only,0.0,0,source labels only,no target-domain adaptation loss,target validation labels,190,0.00015688312123529613,,0.00015688312123529613,min L using the same MLP source-only classification loss as DANN,30,30,0,273,28,245,1.0,0.8928571428571429,0.763265306122449,1.0,0.9,0.7676011468620579,1.0,0.899749373433584,0.7632765110468404,0.23673469387755097
