split,description,task,variant,lambda,conditional_alignment_strength,seed,classifier_label_usage,domain_label_usage,model_selection_labels,selection_status,best_epoch,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_test_accuracy_gap,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,domain_discriminator_accuracy,L_last,Ld_last,Ld_cdan_last,Lc_last,backward_loss_scalar_last
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.2,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,345,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.22344322344322343,1.0,0.8,0.7765567765567766,1.0,0.8333333333333334,0.7785493827160493,1.0,0.8222222222222223,0.7821219578889801,0.9161073825503355,0.001065205899067223,0.2812967002391815,0.27227550745010376,0.030588509514927864,0.5607551336288452
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.2,1,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,70,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.24542124542124544,1.0,0.8,0.7545787545787546,1.0,0.8333333333333334,0.7596450617283951,1.0,0.7777777777777777,0.755051131549782,0.9161073825503355,0.001265021157450974,0.2897050380706787,0.2694709002971649,0.019382314756512642,0.5643174052238464
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.2,2,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,295,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.19047619047619047,1.0,0.8,0.8095238095238095,1.0,0.8333333333333334,0.813014403292181,1.0,0.8222222222222223,0.8141600937869753,0.9161073825503355,0.0003849394270218909,0.2771429717540741,0.25571924448013306,0.009758483618497849,0.5351988077163696
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.2,3,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,170,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.2417582417582418,1.0,0.8,0.7582417582417582,1.0,0.8333333333333334,0.7618312757201645,1.0,0.8222222222222223,0.7615275488052505,0.912751677852349,0.001311526633799076,0.2826353907585144,0.25334933400154114,0.03353389352560043,0.5440030694007874
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.2,4,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,350,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.09890109890109888,1.0,0.8,0.9010989010989011,1.0,0.8333333333333334,0.898533950617284,1.0,0.8222222222222223,0.9020698846785802,0.9161073825503355,0.0005987525219097733,0.280024915933609,0.27803900837898254,0.018749767914414406,0.5624126195907593
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.5,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,220,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.19413919413919412,1.0,0.8,0.8058608058608059,1.0,0.8333333333333334,0.8063271604938271,1.0,0.8222222222222223,0.8117892067157754,0.9161073825503355,0.003442678600549698,0.27173537015914917,0.2607346475124359,0.0077354032546281815,0.5397803783416748
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.5,1,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,335,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.21245421245421248,1.0,0.8,0.7875457875457875,1.0,0.8333333333333334,0.7908950617283951,1.0,0.8222222222222223,0.7906638737017166,0.9161073825503355,0.0008333224686793983,0.2702193856239319,0.26572808623313904,0.00792443286627531,0.5407430529594421
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.5,2,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,195,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.13919413919413914,1.0,1.0,0.8608058608058609,1.0,1.0,0.8577674897119342,1.0,1.0,0.8635296206405512,0.9161073825503355,0.001239029923453927,0.290739506483078,0.2754238545894623,0.010585038922727108,0.5726948976516724
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.5,3,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,280,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.21611721611721613,1.0,0.8,0.7838827838827839,1.0,0.8333333333333334,0.7848508230452675,1.0,0.8222222222222223,0.7892667781249368,0.9161073825503355,0.001185380620881915,0.2775423526763916,0.2644583582878113,0.007008042186498642,0.5466901063919067
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.5,4,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,335,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.10622710622710618,1.0,1.0,0.8937728937728938,1.0,1.0,0.8903034979423868,1.0,1.0,0.8956087670846591,0.9161073825503355,0.003337402129545808,0.28312110900878906,0.29117676615715027,0.01061518955975771,0.5829429030418396
